日期,计划购电费/元,紧急购电费/元
2025-07-03,49868.46113294615,26180.996248117444
2025-07-04,21603.457094844216,24839.595760192933
2025-07-05,21753.956603599116,22944.820218990986
2025-07-06,49389.46597334101,31036.542376911522
2025-07-07,49171.831221989836,15038.638286253272
2025-07-08,56353.11881037293,4377.601986231938
2025-07-09,58177.85412622655,999.7090835110939
2025-07-10,58674.49473855377,1599.6783801294673
2025-07-11,28085.085167811754,120.36415058007059
2025-07-12,27973.97830808472,267.2768815069185
2025-07-13,58327.062570308495,1463.1179194713227
2025-07-14,58181.1344023333,1543.587178338225
2025-07-15,60636.52018053724,132.52141676113456
2025-07-16,57832.41224713324,495.4116952895464
2025-07-17,56043.742084594945,152.4279304915674
2025-07-18,27050.737222252465,3.0413623619551796e-11
2025-07-19,26961.559215273068,3.209407095638994e-11
2025-07-20,54192.004583711554,3.670444692627228e-11
2025-07-21,53406.95607223302,83.12521841072845
2025-07-22,53563.86102596049,560.2957461052022
2025-07-23,53531.4642142414,364.6051596218774
2025-07-24,53157.25111306424,131.9827174667353
2025-07-25,25828.683111933733,3.177160445844152e-11
2025-07-26,26164.3507160923,3.459870295818846e-11
2025-07-27,52445.408433309654,741.6773597333752
2025-07-28,52728.36011465293,8.563409004125333e-11
2025-07-29,56566.14497081381,502.0048714886608
2025-07-30,55769.48348095063,4.5974031026574384e-11
2025-07-31,54531.64274727798,3.5112766267206954
2025-08-01,26103.362965034663,3.426778727444457e-11
2025-08-02,25735.465114018967,3.437174722620284e-11
2025-08-03,51430.88030557902,1012.4628491806266
2025-08-04,47192.66667059295,218.70232835177976
2025-08-05,48557.89232380233,3.395882330892164e-11
2025-08-06,49197.42323752159,8.096171200122626e-11
2025-08-07,50410.40185586657,76.71458023070765
2025-08-08,25186.52484711908,4.968595912480111e-11
2025-08-09,24714.443324033207,3.249362423574098e-11
2025-08-10,48252.48544292894,4.3816454020628726e-11
2025-08-11,48903.49908700364,730.2795737746046
2025-08-12,48324.24376751347,280.7081213632139
2025-08-13,48737.84971384715,411.398140387741
2025-08-14,49877.984951781116,250.58467595110258
2025-08-15,24718.389873305743,4.3727959031514274e-11
2025-08-16,24753.519063686792,3.398701142742766e-11
2025-08-17,48168.64060562042,137.69302125335702
2025-08-18,47815.125965748186,1277.3840008437428
2025-08-19,45916.35746208388,1065.168662023951
2025-08-20,46360.58166695523,18526.67059077116
2025-08-21,50157.72684269409,29.437584260045742
2025-08-22,25137.60203655216,222.047441782803
2025-08-23,24837.931893540022,3.1992252846890774e-11
2025-08-24,48952.545242938155,5.200363306645528e-11
2025-08-25,49712.4864708251,9.53739718312363e-11
2025-08-26,50892.84695161038,39.76873522351251
2025-08-27,52384.569555116475,94.54878091338131
2025-08-28,49328.48953466762,531.2559177356989
2025-08-29,26078.874134835307,3.355349242895045e-11
2025-08-30,25343.902763866485,4.790426233469702e-11
2025-08-31,51568.56431588867,340.1318295265441
2025-09-01,50091.158565515696,5.1666326328358986e-11
2025-09-02,48949.944482393534,3.466780995609042e-11
2025-09-03,48820.176171784144,4.216408000523586e-11
2025-09-04,49713.409644265324,3.849262952826393e-11
2025-09-05,25423.490188637683,4.319775825933903e-11
2025-09-06,25667.655888246834,5.6942596415865413e-11
2025-09-07,48136.87727922901,3.6232417510717595e-11
2025-09-08,41031.712053792784,2558.5781468194505
2025-09-09,45332.743297486435,3.448342678069594e-11
2025-09-10,45001.03225612846,1462.130687641707
2025-09-11,44017.179156783284,2.9447431160178895e-11
2025-09-12,20774.308138350196,3.6591794483342714e-11
2025-09-13,19601.370545003214,4.049952395668299e-11
2025-09-14,42431.48895178398,5.520628543198569e-11
2025-09-15,39955.452869829016,7.893606150048059
2025-09-16,42325.42562404431,55.381747666717594
2025-09-17,40614.59216186197,301.51369602113937
2025-09-18,42524.72999354258,81.9296937399455
2025-09-19,18314.979290910516,5.1756342989150996e-11
2025-09-20,18221.594726660718,262.1912369868328
2025-09-21,43780.52713889045,5.978378725401966e-11
2025-09-22,43216.45385274235,101.05546264955889
2025-09-23,43061.97546700109,370.19235755937024
2025-09-24,43558.432670853785,4.8762579196726114e-11
2025-09-25,43533.63233877536,103.49743166671887
2025-09-26,18691.935191393204,4.147654773106746e-11
2025-09-27,18550.148583238166,1378.057784306873
2025-09-28,44455.09994343853,206.04502471004844
2025-09-29,44287.99745864754,224.7426389615763
2025-09-30,44950.674055872805,203.23060216892625
2025-10-01,44411.02032163,4.55656168352192e-11
2025-10-02,43628.37239562212,3.561137451590923e-11
2025-10-03,17800.846085276255,3.8160761661742985e-11
2025-10-04,18675.637020560982,3.602182552242539e-11
2025-10-05,42931.58174981887,3.791330760449796e-11
2025-10-06,43591.15769231179,3.448874141831482e-11
2025-10-07,43247.064391905435,3.739254461621044e-11
2025-10-08,40791.0989814599,4.307069212394765e-11
2025-10-09,39945.884108142105,4.9178071448441335e-11
2025-10-10,16653.795250281102,5.260087254654876e-11
2025-10-11,17534.895560621975,3.9586526279222765e-11
2025-10-12,41682.21485744675,98.03580773338518
2025-10-13,42239.83453204435,5.397013569385933e-11
2025-10-14,41184.52073973099,3226.497227925736
2025-10-15,40470.37666346677,1881.6645353928466
2025-10-16,42067.93517040867,6942.480520882316
2025-10-17,16368.615365435722,232.49109064546678
2025-10-18,16391.28464462784,4.787313745424625e-11
2025-10-19,42298.30792111305,5545.1261385211465
2025-10-20,43522.34581578266,3498.496122140101
2025-10-21,44087.57354669279,6.861401424806957e-11
2025-10-22,44982.653233668345,1394.9641201799154
2025-10-23,45067.52501941318,4.8591598217351266e-11
2025-10-24,17214.90261250579,963.9587353116024
2025-10-25,17421.880517520665,94.29522705742791
2025-10-26,44829.49263610179,5.956675330764937e-11
2025-10-27,44444.208257202336,1760.1897854049505
2025-10-28,44191.06181061315,610.3106799156627
2025-10-29,44680.9732771266,13366.534088164735
2025-10-30,47371.33069965169,15.619409105924813
2025-10-31,18057.75094414501,4.450079837958753e-11
2025-11-01,18178.454613178546,5.06427547675159e-11
2025-11-02,47017.572036356694,397.9675525760598
2025-11-03,47270.41389410583,7.384211375693894e-11
2025-11-04,47274.384194023005,657.7003795421484
2025-11-05,47055.80743302133,13.88065217505691
2025-11-06,46874.458930160574,6086.077675048358
2025-11-07,18533.896135583767,4.478262538576416e-11
2025-11-08,18284.8090465424,5.5148451139075404e-11
2025-11-09,47502.743451500195,2149.9068746248904
2025-11-10,48961.30314593359,3628.4429542762314
2025-11-11,50135.1654858239,8.985274166716913
2025-11-12,49210.44293182417,51.56131333338642
2025-11-13,49141.1632637406,549.1869593899412
2025-11-14,18798.511401046504,6.637013871824138e-11
2025-11-15,18767.572113624876,4.653464702464305e-11
2025-11-16,50926.57914270701,6.13040427310807e-11
2025-11-17,51508.159135452195,5.159431548662496e-11
2025-11-18,50666.430890414806,472.23705130875123
2025-11-19,51337.753046245925,1339.8065095137938
2025-11-20,52028.40115831552,6.177537015261692e-11
2025-11-21,19054.611398156932,85.59225106949765
2025-11-22,19157.693200159185,43.49585129286713
2025-11-23,52657.76832953528,6.110484740418088e-11
2025-11-24,51854.00659496749,378.6619397045099
2025-11-25,51361.26037489831,6.38783845263724e-11
2025-11-26,51419.12558072423,3347.78465249573
2025-11-27,53282.37865039511,8.668434925418465e-11
2025-11-28,19634.95858576087,240.76308896413
2025-11-29,19747.758197116862,7078.987480380845
2025-11-30,55806.869684960315,28.398311333391927
2025-12-01,55311.374439027335,22336.69964774631
2025-12-02,54735.25301453307,36234.76893494303
2025-12-03,56499.00523549094,17913.322777761612
2025-12-04,55575.44302913899,23979.25211501235
2025-12-05,20729.620245017933,31600.362920238687
2025-12-06,26565.677345368418,3218.1616262875605
2025-12-07,55808.62208496475,24976.546603867508
2025-12-08,54825.61382271638,33196.73253498493
2025-12-09,59692.55226326901,2607.7944334595395
2025-12-10,60865.61539259356,6.867599355864229e-11
2025-12-11,62031.86812953506,5.3179159742455795e-11
2025-12-12,24951.725083417863,2301.9215174175606
2025-12-13,25094.60439485354,3278.4298824986936
2025-12-14,62917.122005681456,5.909280165194985e-11
2025-12-15,61991.127378262,5.613429277656623e-11
2025-12-16,62549.379854904204,5.903367950033101e-11
2025-12-17,62061.98060119762,6.266054675130306e-11
2025-12-18,61269.08644653841,157.55888301504237
2025-12-19,25105.003514373584,155.2892551505737
2025-12-20,25332.01473082284,4.584875501478791e-11
2025-12-21,62065.60054720019,58.854916675062114
2025-12-22,61826.46510015479,454.05335576566637
2025-12-23,62082.6090356875,5.7114981966144283e-11
2025-12-24,61470.35729615183,377.4030806317413
2025-12-25,61225.625719493444,9.15330224134292
2025-12-26,25458.560589141704,6.284806830514356e-11
2025-12-27,25540.02701927461,7.799336843028471e-11
2025-12-28,62428.04011919029,124.53568474174841
2025-12-29,61839.72441970281,6.778333921930723e-11
2025-12-30,60835.76109902513,152.48664674005883
2025-12-31,60695.27937356405,1476.7318899402414
