,A,L05,LIT7,LITall,AR7,ARall,X7,Xall,Xfull
2025-03-14,17618.85727507212,16710.470096058307,17640.34698360194,16907.06205016394,17475.92441665019,16513.997061851012,17613.757539580616,16501.342331439162,16533.96437567219
2025-03-15,16857.77882371562,16620.219720983998,16835.08988437869,17240.851889847567,16781.478170368213,16914.004454676557,16851.324414876348,16778.90495339041,16789.772548232762
2025-03-16,43227.576482853015,42699.0687606858,43229.66112862022,43631.10682869507,43231.71401421913,44590.67832468561,43227.75135396267,43414.83081192759,43386.29609866839
2025-03-17,46233.609953258914,45837.72313453636,46241.171485739,46484.32441866794,46249.02557787366,48253.82099552154,46256.77759246259,46513.604233417085,46429.900032460864
2025-03-18,45605.76191128337,43641.987006982716,45634.93376310681,42699.607109746445,45460.42391777468,44063.16723994886,45603.798814319714,45762.78946266514,45736.14345805223
2025-03-19,42433.604473858504,41619.915496878835,41089.9520613276,43284.68030027837,41682.018538682714,44622.119692975284,42472.54692485134,41817.57703717337,41692.505180608205
2025-03-20,56063.85648174432,54442.695825596085,56183.66472073165,53386.71790136717,56095.600687119506,54931.39534870633,56064.185336596565,55834.76251620258,55787.36850865692
2025-03-21,16466.66774351264,16451.82653830464,16527.396306737337,16642.411593208082,16653.434502476724,16487.71032883542,16467.12360139956,16526.068786723576,16506.4118233976
2025-03-22,15998.974489926297,15880.547061578825,16024.262232600326,15964.321887810614,16007.16675360445,16389.832930175275,16001.672116160255,16035.669925715541,16024.568008241062
2025-03-23,42009.36320695948,41269.93861124509,42069.390654289244,40173.928448065635,41994.74650143205,41030.86636368113,42009.36331459051,42248.78368764564,42231.92677254319
2025-03-24,41714.96488709876,41433.08481682422,41759.63498602691,40644.043971398525,41708.31263975693,42361.88093812283,41715.27999120776,42272.89453716216,42287.107473337215
2025-03-25,52072.15847682764,49584.66504145808,52068.38386349073,47639.86380605648,52008.29023539337,49755.55604345574,52071.50267950949,51436.42673324469,51351.9409792141
2025-03-26,39460.74313625004,39322.43661768855,39018.90962649121,38573.30553284936,39011.271950074566,39346.57486148343,39461.3597655113,40054.16598302376,40024.78771490252
2025-03-27,43703.23978470911,43423.532187027115,43684.1703271315,42374.539478728955,43648.6011575274,44230.014333652616,43704.86759841921,44232.667331164805,44213.625242297945
