日期,计划购电量/kWh,计划购电费/元,紧急购电量/kWh,紧急购电费/元,弃电量/kWh,日初储电量/kWh,日末储电量/kWh,日末规划目标/kWh
2025-06-02,71430.1722770609,44015.21935847838,3621.178429609941,17848.13835789959,2280.274299676569,8550.0,8550.0,8550.0
2025-06-03,72157.33323241647,44605.548311648956,2353.522226124679,10364.192914283503,2135.2783356963228,8550.0,8550.0,8550.0
2025-06-04,72056.33657950205,44396.673035201784,2388.5205056049567,10762.985691739907,636.9135959135951,8550.0,8550.0,8550.0
2025-06-05,67033.37437101647,42215.8150541895,4091.228130694786,19981.089794937176,92.49101433335144,8550.0,4518.891845555555,4518.891845555555
2025-06-06,32252.798115288064,17535.53588388751,4006.0939953061907,20081.307825163654,2651.4231548609177,4518.891845555555,4307.116861555556,4307.116861555556
2025-06-07,37380.61836145679,19765.218205150373,2565.341878703713,12005.185533718955,1244.0107163045398,4307.116861555556,8550.0,8550.0
2025-06-08,73735.38751447573,45803.04799308884,2140.288351888078,8915.01592250013,7225.621851204139,8550.0,8550.0,8550.0
2025-06-09,80120.04280845678,50622.5536657639,157.6228396666808,1067.3804494158835,5365.857822290921,8550.0,8550.0,8550.0
2025-06-10,80121.2527207819,50711.026940245705,74.44305200001679,502.00969383671946,4533.777691663554,8550.0,8550.0,8550.0
2025-06-11,80634.0235741605,50713.71897285407,1590.9050164033474,10418.25785437599,1700.1405663755725,8550.0,8550.0,8550.0
2025-06-12,75918.87557838272,48964.27696965498,1.9632628855958956e-11,7.143601948866873e-11,3764.9097149221575,8550.0,4419.057985555556,4419.057985555556
2025-06-13,39525.783483028805,23166.11067345636,1.402267191252804e-11,4.8916351746974845e-11,8338.119635786024,4419.057985555556,4586.223045925926,4586.223045925926
2025-06-14,44043.10591866667,25098.0459223722,1.2969736395973541e-11,4.9711141147934514e-11,10942.424413742567,4586.223045925926,8550.0,8550.0
2025-06-15,80330.7125901358,50877.75757765231,46.05086233334975,312.8666174773886,5554.2495915237205,8550.0,8550.0,8550.0
2025-06-16,80210.74944602881,50798.47965744868,23.222060333356843,156.6655788442407,3217.3298614913047,8550.0,8550.0,8550.0
2025-06-17,79431.19976037038,50075.152603924624,838.0367416100149,5830.3896228257245,1318.7081131357813,8550.0,8550.0,8550.0
2025-06-18,80273.86070280247,50790.11963267147,61.367233333347436,413.78223028338437,5534.725209359975,8550.0,8550.0,8550.0
2025-06-19,74955.04738484362,48525.539750307646,112.57785200001464,758.0122989867139,7693.339735610965,8550.0,4180.442339259259,4180.442339259259
2025-06-20,38616.549360300414,22715.45023973497,9.69768709779828e-12,4.2684531631476116e-11,13455.5110381547,4180.442339259259,4429.109990370371,4429.109990370371
2025-06-21,43840.91112733333,24862.7850169238,1.2315481967561936e-11,4.190894531408418e-11,17324.51826046911,4429.109990370371,8550.0,8550.0
2025-06-22,79375.70566623457,50184.69612900512,75.24285200001918,509.0346919817347,8086.592408137675,8550.0,8550.0,8550.0
2025-06-23,78966.6028074856,49589.10884029712,23.729429000017426,161.29987627706672,7858.073730978331,8550.0,8550.0,8550.0
