朴素_总费用_元,对冲_总费用_元,朴素_紧急费_元,对冲_紧急费_元
15553790.393708142,14129935.322472401,3242860.7197958548,274280.6616986624
15652138.102503397,14092451.086678782,3341208.4285911103,236796.42590504323
15232413.91481512,14045895.979352698,2921484.240902833,190241.31857895764
15603827.035913948,14112854.624711368,3292897.3620016603,257199.96393762968
15616396.951742042,14122934.238847844,3305467.2778297556,267279.5780741058
15652980.662811829,14135666.05393879,3342050.9888995416,280011.3931650503
15278967.17351384,14123838.378338477,2968037.4996015537,268183.7175647374
15628522.31793013,14155018.867298113,3317592.644017844,299364.2065243737
15431311.653638417,14155350.002805062,3120381.97972613,299695.3420313216
15591056.307957102,14027546.270289835,3280126.6340448153,171891.60951609578
15724027.97064431,14180375.440365389,3413098.296732023,324720.77959165064
15377801.825582862,14043113.108553985,3066872.151670574,187458.44778024612
15818320.33753634,14120427.026340693,3507390.663624054,264772.36556695454
15799861.437447976,14119721.148647526,3488931.7635356886,264066.4878737869
15377474.121922757,14060624.733053671,3066544.4480104716,204970.07227993128
15604387.171666095,14102116.444079109,3293457.497753808,246461.78330536987
15711172.660433158,14088982.827997586,3400242.9865208715,233328.16722384605
15644787.576899081,14026001.937964845,3333857.9029867947,170347.2771911061
15595817.235603413,14219634.299425555,3284887.5616911254,363979.6386518167
