,A,L05,L6_plan,L6_adj,L6_both
2025-04-12,14891.260801216526,14792.580896043495,14874.53396826818,14732.122656006322,14715.395823057976
2025-04-13,38458.61561760729,38645.36614783349,38097.93486605973,38496.53634440597,37998.00335092245
2025-04-14,41802.23502914544,41922.006354595585,42005.63584155653,39310.28356585242,39530.75297675492
2025-04-15,37659.05347615687,37262.28117182863,37808.45027748205,37588.68694785788,37512.37921659958
2025-04-16,37554.030279188366,37175.93682010431,37335.90676511393,39514.440609434765,38798.637948001095
2025-04-17,36609.10735199591,36780.74001392077,36241.52126503698,36356.955812871645,35415.7676931455
2025-04-18,13656.0374432065,14170.335142308655,13649.693744462686,13477.200694299689,13446.684199247642
2025-04-19,13165.691139479863,13213.191564776569,13124.73394101428,13263.497967186657,13222.540768721077
2025-04-20,35915.999861651515,35440.76461922406,35803.65702167952,36007.90471566312,35907.36513071276
2025-04-21,35499.74579561821,35497.73176599674,35496.9342880903,34651.13986541917,34648.32835789126
2025-04-22,36031.32206155712,35469.91472566975,35761.99712559628,35494.68417992215,35386.66129463499
2025-04-23,35852.46921917527,32928.95822518503,35063.96303047444,35575.49106015184,34619.700281414756
2025-04-24,33794.733934151554,32623.419082187018,33121.35506240829,34444.20697447389,33637.33851454602
2025-04-25,12849.527383423077,13114.144058713711,12707.123571087484,12777.251111380325,12645.759597736513
2025-04-26,12876.246626346998,13200.960370976318,12873.928248499107,12905.643562600377,12903.176037821262
2025-04-27,35751.93720386806,35193.79266466976,35623.71338437402,35823.874055573026,35695.41228217181
2025-04-28,37907.19766157543,37022.187943340745,37499.101076004816,39204.43861169764,38656.18857871281
2025-04-29,34015.808010862434,34969.284276203434,34584.912016437855,33201.27733368438,33770.75261297062
2025-04-30,34519.5064394823,33918.35728109504,33534.42778232132,33335.52376443477,31483.28498653179
2025-05-01,36297.043328213746,36963.79646495419,36388.189785569986,36303.64439307036,36404.858735004986
2025-05-02,15775.67821312204,16477.737679267695,16122.336239617283,16219.015317433305,16162.629322478506
2025-05-03,15327.713713320001,15269.130431856353,15319.004796766698,15366.557799677916,15357.848883124612
2025-05-04,38197.32375552346,39247.341118989985,38646.198596645896,36577.76815737984,37028.97340046233
2025-05-05,37071.78940850786,39597.324362924635,37413.96005825653,37552.444298263545,37664.446572292225
2025-05-06,39293.46535753053,36817.56622365062,38051.095023799295,39138.22430575375,38033.45114644111
2025-05-07,38285.59177388482,37349.736668764315,38287.60717163926,38296.749590294254,38406.5217109417
2025-05-08,38921.49897192088,39151.910999470594,38519.959274942856,37589.861468760624,37369.26718057124
2025-05-09,15255.19932289239,15042.619676746255,15096.28695177675,15338.093848961966,15128.49620316953
2025-05-10,15183.632138390984,15207.401665296982,15184.871990608848,15150.88069523481,15147.672497854765
2025-05-11,37355.59787235091,37045.008629172495,37276.000673813505,36928.08448069275,36827.03281931891
2025-05-12,37582.681363026924,36958.98545462832,36951.63846960418,38016.76042995483,37338.64101913383
2025-05-13,37313.9969307825,35774.42764924765,36732.5496699438,37707.114597104824,37103.38432818502
2025-05-14,36188.1183993386,35991.12357771163,36136.6191193573,36363.242497783045,36278.23248957616
2025-05-15,35731.6665200218,34989.96109995363,35335.79545198903,35806.92573879019,35264.17639891979
2025-05-16,14486.06468233879,14788.155519992491,14366.683853925513,14395.785785202914,14290.883050006665
2025-05-17,15591.690342967633,15578.63639977008,15607.748841104887,15374.356176546029,15376.509607359152
2025-05-18,35972.17020030436,35760.56897955587,35866.879150025925,36114.98649303173,35891.99751497063
2025-05-19,34489.59969440442,34001.16050444603,34256.53557264382,34820.74802134365,34503.162972167826
2025-05-20,38875.71487880024,38929.26476427356,39243.25590020159,38082.021224765325,38256.811782934
2025-05-21,37087.89734176044,36024.72589973527,36578.14443127702,37004.94092429916,36555.10072543642
2025-05-22,35516.224054218095,34152.37127390849,34849.83573322203,35752.37367678989,34901.67453064558
2025-05-23,15452.150342058743,14964.704911936902,15380.683459500255,15163.330926470924,15091.864043912432
2025-05-24,14301.059967591973,14361.871004530562,14264.752551401794,14327.78703642374,14291.479620233562
2025-05-25,35514.64359933762,35169.52943069328,35324.9056510822,35540.06349950058,35345.559817806956
2025-05-26,38030.590365283446,37968.96352047278,37721.77390789332,39078.0835530336,39453.554958165245
2025-05-27,36774.45416571854,34439.133813864406,34498.9459490906,38095.941814229394,35739.20741023119
2025-05-28,35668.70797776392,34811.81835351088,35250.01450066496,36054.154744624255,35600.994434318985
2025-05-29,40326.74163589452,37826.605530370995,39566.61268868039,39318.461534918024,38989.86958135133
2025-05-30,14368.92494024157,14532.74136400759,14360.8016161278,14423.663098564364,14415.539774450594
2025-05-31,15048.553927602785,14880.52344387973,15004.01572975115,15102.491648679674,15057.95345082804
2025-06-01,52019.39500123547,49681.49336068878,52388.48971676146,54025.574981042046,54343.55121095962
2025-06-02,50106.4575972249,49235.098776878105,49735.74178619246,49048.94162571231,48764.089315851015
2025-06-03,47306.149885506966,47676.47982002781,47196.90795261988,47376.25353647229,47036.18176655137
2025-06-04,50099.420891046335,48747.44746437479,49594.355283848694,50402.447315882084,49730.489049527925
2025-06-05,49190.38729726865,48338.86062918284,48925.61171694975,48528.74541256699,48258.510179822
2025-06-06,21611.24103237882,22628.95821943322,21989.722879460023,21627.448627954695,21750.583777609052
2025-06-07,22765.56545726321,21079.97524904208,21949.657658642842,22658.44921798133,21842.54141936096
2025-06-08,46135.1294246642,45760.27047690674,45798.77223481087,47581.12929282178,47200.77998801567
2025-06-09,48979.269931896764,48573.64152352815,48840.605678184664,49025.732514018,48879.40627852529
2025-06-10,49347.61602136906,48281.22055322928,48658.48473447612,49514.77468994627,48806.432002686655
2025-06-11,52346.27196333651,53221.51178012431,51630.576213104214,55006.4910070308,54353.962869437564
2025-06-12,50196.23578347172,50760.48015922558,50497.420209390424,50117.84370923957,50566.57170884212
2025-06-13,20348.13337965479,20315.158003617198,20360.09494481974,20343.13039033662,20351.86767935172
2025-06-14,21579.41496830643,21794.084490457448,21655.7821065116,20924.963020852585,21001.330159057754
2025-06-15,48006.161117151954,47480.898100451464,47702.37305339784,48327.32423309313,47881.44359831942
2025-06-16,54320.93015027473,51165.72322639685,53158.1706675849,55070.27135636401,53992.70476084957
2025-06-17,52142.264604602286,52634.11393971554,53662.81951176832,53698.57265310133,53678.19381747921
2025-06-18,48157.21541497225,48495.04405345429,48404.73827316501,48026.68060254635,48222.6240708534
2025-06-19,48384.793208338335,47953.330251709165,47926.79149366702,49138.06641504956,48689.46113752371
2025-06-20,19219.48870365695,19183.726691468964,19215.521920628278,19234.62181858823,19228.294103916174
2025-06-21,20063.702051392087,18840.639269954114,19504.811756852934,20273.30481522558,19702.68130082201
2025-06-22,49185.319243705395,48929.45178299254,49086.266586768426,48450.07316220155,48350.91819806931
2025-06-23,48571.075255540556,46635.75513643556,48624.044769190776,47881.048974341764,47975.232097267515
2025-06-24,53336.790554090665,54535.70213801727,54299.623262705565,58830.13894812629,57965.964496771936
2025-06-25,49188.861858831995,47442.42288831693,48669.67865765949,49153.11351571525,48686.37488567743
2025-06-26,48072.38641469698,46166.97126715295,47233.15856457126,49015.66371814681,48045.92866014876
2025-06-27,20044.54583821882,19582.1063284422,19854.141661309237,19786.401426160333,19595.997249250748
2025-06-28,19632.917518004306,19468.412507117268,19651.433161449768,19317.34991028197,19290.851562268446
2025-06-29,49519.03025645225,47389.65733569431,48899.34101447863,49093.56475045696,48476.059442864615
2025-06-30,47311.15365267365,46796.270547211556,46947.60045052845,47779.33274028918,47378.16524266842
2025-07-01,54284.28065221496,54048.07207570435,53806.36701400617,54631.70858157829,54299.61952236302
2025-07-02,49200.819789174995,53807.71914374958,49916.903486466166,51166.629205003555,50607.636605058964
2025-07-03,54800.00655716888,56180.84927954604,54946.491059237735,55163.52247950374,55237.29266682525
2025-07-04,27589.891039789287,26416.293284480987,27318.746404862188,28310.649987982306,28208.536126075065
2025-07-05,26590.43427145017,25834.921749558365,26484.37092958712,26807.979602976426,26709.02786787508
2025-07-06,56968.14182830856,57233.88366785583,57058.224437928846,58000.417506327525,57769.76361950945
2025-07-07,50672.66132625138,51627.842979420595,51089.84542131689,50937.942960573564,51163.82708342835
2025-07-08,54417.44383495839,55042.536868997224,54402.10219285817,53403.61968158373,53589.28027160104
2025-07-09,52908.58461242598,52488.26661840029,52927.16711891644,52011.864714065574,51936.81378782192
2025-07-10,52661.08553448462,52942.44388449504,52635.40600024297,51459.01099936791,51407.53886300265
2025-07-11,25892.409661615617,25503.816710578638,25368.69328020769,25590.054869364372,25390.492404449025
2025-07-12,28082.66946654139,28051.451071221156,28006.78165902186,27813.958398941297,27738.07059142177
2025-07-13,52694.170428252306,53039.3184099836,52999.8130864442,52079.00784058263,52174.65526302153
2025-07-14,50886.89567808849,49198.29700564622,50408.71631019793,51527.258385631314,50812.34081834191
2025-07-15,58538.69299808966,57153.94997338432,58165.788802152674,57608.1450349198,57239.739773722824
2025-07-16,50178.54352175876,49550.61369655226,50141.3440396948,50088.297198413326,50017.91066465133
2025-07-17,51958.86735163933,51626.35091953308,52323.04905427185,51873.892814657534,51835.204419713395
2025-07-18,26739.685586201038,26564.515661007477,26615.395123739876,25836.259192616326,25703.921013390238
2025-07-19,25763.68175982785,25382.309783347395,25568.251535698742,25768.79422240483,25574.670269767485
2025-07-20,50371.36405808402,48777.359572613525,49894.56313593913,49998.16300266344,49527.15796887383
2025-07-21,52544.50881436412,52115.42527087335,52488.1431504581,53206.46886761523,52836.93435509654
2025-07-22,52688.54675796311,52407.42681985597,52528.24347415474,51935.57681389335,52264.43096297008
2025-07-23,57961.46475250399,56629.560901450575,57391.66589253569,57001.59811630225,56431.94943537294
2025-07-24,52296.01607206269,50803.453984275155,51822.28926909987,52976.63005339365,52203.71751268501
2025-07-25,24291.497759754984,24685.471604025035,24542.06614592973,24375.166798510676,24098.842766586924
2025-07-26,24828.439165583033,24898.94754123074,24748.14527709926,24497.465402266713,24385.935502632132
2025-07-27,54436.85895830495,53121.30010138202,54043.91366955326,55188.263095193055,54793.90088070164
2025-07-28,55562.71135024045,55640.82109236215,54983.651133037085,56155.829242791806,55739.92583489511
2025-07-29,53435.164720023575,51661.673602754876,52815.1870859221,53566.85441529281,52996.371087675616
2025-07-30,56292.93208469498,52124.764641187336,54876.07826125606,56204.39276260956,54801.65020061809
2025-07-31,53731.62481838905,52912.10221542445,53311.87020375229,54370.83403449172,53957.43383073062
2025-08-01,24020.527486807427,24180.52828423632,24090.333347302174,23902.3358965226,23972.141757017343
2025-08-02,23731.303381002777,23561.910927765035,23559.120280015028,23704.48611457474,23533.407509493758
2025-08-03,46117.360112383656,46113.428937366494,46043.93666960665,44587.57695811119,44576.98972499397
2025-08-04,48270.56179295231,48971.9843512761,48515.71181097032,46828.18811446687,47169.150127924084
2025-08-05,46060.5919620115,46542.07411789127,46478.60283901035,46844.05428507519,47459.241006233555
2025-08-06,49124.1310266901,46540.86654629391,47347.60967457941,50989.11943808897,49121.73465255582
2025-08-07,46777.832336996675,46036.40314472844,46558.65403432221,47010.55016695049,46782.76510316966
2025-08-08,23383.000155370533,23521.2004696056,23404.808292024136,23002.42158170973,23018.030183716033
2025-08-09,22942.104717830058,22902.698406917334,22996.262633902083,22938.953519167153,22987.350256655704
2025-08-10,47620.327856514385,45576.61561883995,46672.99477012669,47668.68738102375,47429.96592340451
2025-08-11,46793.4114119989,45912.280786376854,46440.06570629959,46757.0364828043,46382.23580705548
2025-08-12,47806.63022268599,47316.052602336844,47468.12224498123,49253.19406103919,48733.98418636703
2025-08-13,47316.49291829234,45072.10864573329,47016.72526461901,47198.8141300316,47049.18397209289
2025-08-14,46528.016277871924,46460.468770329724,46084.527563405354,46476.618703518834,46004.73759339962
