,mse_plan,mse_adj,mse_both,mae_plan,mae_adj,mae_both,A,L05
2025-04-07,38406.431153687154,38476.61454296218,38238.505441695546,38470.82753032807,38137.43105715399,37955.04739753372,38650.1893742181,37884.33881471008
2025-04-08,41661.41540590512,41669.91316212836,40985.13828287225,41625.06517536627,42156.258421669285,41430.282187747995,42343.71153004223,41328.32253944942
2025-04-09,39517.396656301826,39662.74702166741,40465.908740627194,39209.106274738326,41062.1781118142,41683.04287960233,39073.133307342214,38701.69751107834
2025-04-10,39945.64363271634,38431.94004334469,39694.22089182296,39960.88354658732,38100.61029399402,39223.08286394346,38741.997301417265,39975.67431303674
2025-04-11,15504.122490900387,15532.882538701575,15450.436457260434,15399.804787998126,15462.60721913636,15262.415761954575,15581.697579615498,15566.439663473935
2025-04-12,14811.54370382976,14845.770127990569,14766.053030603802,14820.227780375588,14732.122656006322,14661.089635165383,14891.260801216526,14792.580896043495
2025-04-13,39330.47434009572,38505.37129121339,38677.09937791088,39083.24077125514,38520.74530656092,38315.838350409416,38458.61561760729,38645.36614783349
2025-04-14,42160.81935364056,41032.2007329469,41669.36171988835,42122.29681577787,38713.09738301842,39368.63347739765,41802.23502914544,41922.006354595585
2025-04-15,37433.91500508528,37558.648258705136,37417.09118645579,37456.69959457316,37465.94399696249,37355.74709865442,37659.05347615687,37262.28117182863
2025-04-16,37202.6059138861,39133.596821511106,38046.24390774946,37185.37563644175,40191.457818726296,39203.2569153594,37554.030279188366,37175.93682010431
2025-04-17,37413.96621154997,36266.216882537185,36589.32153311542,36943.77543402082,36428.17823337519,36387.91379608695,36609.10735199591,36780.74001392077
2025-04-18,13682.64816497583,13606.805361736533,13617.746649314366,13711.205176963298,13477.200694299689,13479.499026818303,13656.0374432065,14170.335142308655
2025-04-19,13094.982064874868,13195.16352952125,13124.454454916258,13055.578736492402,13263.497967186657,13153.385564199198,13165.691139479863,13213.191564776569
2025-04-20,35352.94507869459,35949.00254089476,35381.56828779656,35453.552521687154,36007.90471566312,35542.24033569227,35915.999861651515,35440.76461922406
2025-04-21,35418.0370932427,35239.54822709251,35157.83952471701,35481.28304413039,34651.13986541917,34632.67711393136,35499.74579561821,35497.73176599674
2025-04-22,35747.483984812105,35764.488644830766,35379.09906739291,35705.68099350522,35494.68417992215,35058.013830871,36031.32206155712,35469.91472566975
2025-04-23,33394.24832054757,35993.56555718718,33776.32414013336,33774.65992483353,35816.450791706506,33923.36452442262,35852.46921917527,32928.95822518503
2025-04-24,32907.161095074,33993.29886814758,32960.18834578474,32886.055185467645,34444.20697447389,33097.80239573638,33794.733934151554,32623.419082187018
2025-04-25,12781.771918858316,12797.745674666201,12730.3248369491,12736.44070847964,12777.251111380325,12685.927269203046,12849.527383423077,13114.144058713711
2025-04-26,12870.514013636493,12880.011639650189,12874.279026939685,12863.712101541834,12905.643562600377,12892.794971769117,12876.246626346998,13200.960370976318
2025-04-27,35167.912367540404,35777.83627352891,35292.219873657516,35000.53051520518,35823.874055573026,35247.455594399304,35751.93720386806,35193.79266466976
2025-04-28,36973.00377121125,38896.782235089,37421.12600290287,36969.852486873104,39944.96597927754,38179.008357510225,37907.19766157543,37022.187943340745
2025-04-29,34859.44690627889,33698.593979539735,34500.83536762453,34905.42814738736,33525.59995958392,34013.452527935515,34015.808010862434,34969.284276203434
2025-04-30,33786.23725966885,33308.56830413245,33301.883069423275,33841.507155302934,33589.71114577,32559.97250544986,34519.5064394823,33918.35728109504
2025-05-01,36497.80833647994,36192.7332694275,36395.504058095394,36538.86223287114,36303.64439307036,36583.13264074792,36297.043328213746,36963.79646495419
2025-05-02,16364.383052747653,15709.930848548302,16300.58264027951,16349.22350952501,16219.015317433305,16323.513515906372,15775.67821312204,16477.737679267695
2025-05-03,15342.018209704498,15335.855652235621,15350.16014862012,15339.164428586391,15366.557799677916,15378.008514944306,15327.713713320001,15269.130431856353
