日期,动态分时段费用,动态单λ费用,λ_am,λ_pm
2025-06-12,50549.53342408837,50652.86368833413,0.5,0.8
2025-06-13,20291.93525980075,20315.123349442263,0.4,0.8
2025-06-14,21779.956756816304,21707.079132286708,0.4,0.8
2025-06-15,47688.43834160626,47539.4491279654,0.6,0.8
2025-06-16,52945.56107330791,52734.49178409971,0.6,0.8
2025-06-17,53662.09396641913,52411.143165350295,0.6,0.4
2025-06-18,48322.36952968937,48566.91641520359,0.5,1.0
2025-06-19,47996.21483940367,48152.18176828224,0.5,1.0
2025-06-20,19196.851441584073,19183.72669146896,0.4,1.0
2025-06-21,19918.471863254414,18840.63926995412,0.4,1.0
2025-06-22,48925.07086699954,48929.45178299255,0.4,0.5
2025-06-23,46608.86758724046,46193.08877781537,0.4,0.5
2025-06-24,54736.672337561286,54319.02459048319,0.4,0.5
2025-06-25,48095.4245979303,47046.24198057728,1.0,0.5
2025-06-26,46126.37280846915,46267.38704243629,1.0,0.5
2025-06-27,19713.692881799794,19513.23030577066,1.0,0.4
2025-06-28,19418.464605873505,19439.260526016715,1.0,0.4
2025-06-29,47596.18800366935,47003.209279253584,1.0,0.4
2025-06-30,46691.71677477673,46978.77391376531,1.0,0.4
2025-07-01,56366.75336556397,54872.57372283326,1.0,0.2
2025-07-02,53807.71914374958,53807.71914374958,0.5,0.5
2025-07-03,54658.560207688286,54800.90887247009,1.0,0.8
2025-07-04,27027.107808680175,27174.450848263903,1.0,0.8
2025-07-05,26350.59432719365,26296.906138352817,1.0,0.8
2025-07-06,57170.868965570015,57117.04109557591,1.0,0.8
2025-07-07,50900.90786985719,50928.01299783791,1.0,0.8
2025-07-08,54204.48941121966,54355.41983534439,1.0,0.8
2025-07-09,52908.58461242596,52908.58461242596,1.0,1.0
2025-07-10,52786.12704092063,52649.46130517023,1.0,0.8
2025-07-11,25322.096849592897,25268.83307539264,0.6,0.6
2025-07-12,28128.633376214613,27970.70868574483,0.6,0.8
2025-07-13,53141.67154119308,53446.80102172051,0.8,0.8
2025-07-14,50287.92580841038,50886.89567808849,1.0,0.8
2025-07-15,55656.46342086871,57512.755123421855,0.8,0.2
2025-07-16,50723.87927658114,50610.25151505688,0.8,0.0
2025-07-17,52842.15143390196,52705.46593790874,0.8,0.0
2025-07-18,26506.33532490412,26497.343825942964,1.0,0.0
2025-07-19,25047.11302704732,25109.46778502207,1.0,0.0
2025-07-20,48790.330278144305,48790.33027814431,0.0,0.0
2025-07-21,51210.384538809,51210.384538809,0.0,0.0
2025-07-22,52299.40921919041,52299.40921919041,0.0,0.0
2025-07-23,57343.81752265488,56629.56090145057,0.0,0.5
2025-07-24,51285.45780646659,50341.379502157804,0.4,0.2
2025-07-25,24712.869487666656,24712.869487666656,0.4,0.4
2025-07-26,25002.4169037534,25002.4169037534,0.4,0.4
2025-07-27,53012.20217319865,53012.20217319865,0.4,0.4
2025-07-28,55865.3679133804,55865.3679133804,0.4,0.4
2025-07-29,51403.44704787488,51403.44704787488,0.4,0.4
2025-07-30,50632.01844673999,51240.60795921531,1.0,0.2
2025-07-31,53230.11400369859,52539.54843427756,0.8,0.2
2025-08-01,24221.546728069974,24321.70208713059,0.4,0.0
2025-08-02,23385.277970823143,23619.77932902152,0.4,0.0
2025-08-03,47043.441152129315,47020.61746932037,0.4,0.0
2025-08-04,48789.53826336286,48949.90649229432,0.8,0.2
2025-08-05,46705.911603138,46690.167179364136,0.8,0.2
2025-08-06,48997.54743734072,47465.94249393434,1.0,0.2
2025-08-07,46167.449868788724,46198.29389444698,0.5,0.6
2025-08-08,23395.745744848067,23395.745744848067,0.6,0.6
2025-08-09,22908.2530364499,22908.2530364499,0.6,0.6
2025-08-10,45128.857794681855,45387.03564603617,0.5,0.6
2025-08-11,45906.56143136358,46033.5643527435,0.2,0.6
2025-08-12,48487.45511307227,47344.75992109261,0.0,0.5
2025-08-13,45332.04126746471,45072.1086457333,0.4,0.6
2025-08-14,46484.815088876305,46460.46877032973,0.4,0.6
2025-08-15,24251.982208614732,24207.56016564609,0.4,0.6
2025-08-16,24019.185342912042,23885.847079602925,0.4,0.6
2025-08-17,45303.175980943735,45224.60957403725,0.4,0.6
2025-08-18,44211.46407081093,44183.73974757746,0.4,0.2
2025-08-19,45582.936228286024,45599.96971852913,0.4,0.5
2025-08-20,56303.89786481841,55582.54455886883,0.2,0.5
2025-08-21,47277.31032884397,47020.88053375784,0.8,0.0
2025-08-22,25528.740081005406,25808.2670132662,0.8,0.0
2025-08-23,24040.429451936943,23993.75404333487,0.8,0.0
2025-08-24,45277.64992317526,45634.84159747141,0.8,0.0
2025-08-25,52753.92612725946,53826.36199433381,1.0,0.0
2025-08-26,46010.911825448464,46408.90570910976,1.0,0.0
2025-08-27,49605.4636007275,49585.08061514698,1.0,0.0
2025-08-28,49270.43979160823,50136.97003789,0.8,0.2
2025-08-29,23865.680000980017,24131.277619194407,0.8,0.2
2025-08-30,24407.122371915408,24513.82239519112,0.8,0.2
2025-08-31,52795.823246958,52374.86402631425,0.8,0.2
2025-09-01,38812.28225841229,37480.648309413824,0.8,0.2
2025-09-02,39799.635349012344,39746.59559080107,0.6,0.2
2025-09-03,40662.15416670509,40652.43757417244,0.4,0.2
2025-09-04,40378.34689656149,40541.46831384153,0.2,0.6
2025-09-05,19645.475573742595,19670.243177735305,0.2,0.6
2025-09-06,19141.36781524894,19538.11207431113,0.2,0.6
