朴素_总费用_元,对冲_总费用_元,朴素_紧急费_元,对冲_紧急费_元
14156946.690807294,13956678.46058774,1846017.016895008,96209.55986770925
14227560.101405084,13995905.254331455,1916630.4274927983,135436.35361142535
14307950.562915664,14020766.414069507,1997020.8890033767,160297.51334947807
14087848.114499891,13950448.167189226,1776918.4405876047,89979.26646919602
14347982.718911802,14006376.738961006,2037053.0449995154,145907.8382409755
14333088.185267877,14017555.471086495,2022158.5113555905,157086.57036646528
14091369.495438255,13953159.683400325,1780439.8215259693,92690.78268029449
14266303.196822803,13983295.892800903,1955373.5229105165,122826.99208087217
14310782.022091812,13977458.158312127,1999852.3481795252,116989.25759209639
14222684.35881762,13974419.730163021,1911754.6849053332,113950.82944299036
14217031.673001954,13990473.47552644,1906101.9990896678,130004.57480641025
