,A,L05,L6pred,L6pred_pure
2025-04-14,41802.23502914544,41922.006354595585,42397.502312861965,42465.964515507265
2025-04-15,37659.05347615687,37262.28117182863,37670.70094688193,37418.595788167244
2025-04-16,37554.030279188366,37175.93682010431,37726.04025552618,38738.9546682197
2025-04-17,36609.10735199591,36780.74001392077,37792.754275417945,38087.697298134706
2025-04-18,13656.0374432065,14170.335142308655,13658.236391023918,13673.607327133903
2025-04-19,13165.691139479863,13213.191564776569,13120.371691326127,13165.17446845162
2025-04-20,35915.999861651515,35440.76461922406,34925.33393435467,34941.87325441124
2025-04-21,35499.74579561821,35497.73176599674,35611.18953920314,35674.754253273786
2025-04-22,36031.32206155712,35469.91472566975,35488.39318705878,35340.303082041915
2025-04-23,35852.46921917527,32928.95822518503,34186.9690223626,34806.551939458484
2025-04-24,33794.733934151554,32623.419082187018,32920.69499298812,32887.13587409312
2025-04-25,12849.527383423077,13114.144058713711,12906.217000574748,12957.65077940509
2025-04-26,12876.246626346998,13200.960370976318,12893.666675699875,12887.625544070439
2025-04-27,35751.93720386806,35193.79266466976,34976.10912098507,35636.73573972645
2025-04-28,37907.19766157543,37022.187943340745,37557.2697339083,38006.21015417072
2025-04-29,34015.808010862434,34969.284276203434,34752.80039330398,34343.013820841865
2025-04-30,34519.5064394823,33918.35728109504,33495.611576578645,36156.42978598062
2025-05-01,36297.043328213746,36963.79646495419,35989.0034602353,35963.8992510953
2025-05-02,15775.67821312204,16477.737679267695,15951.658315945162,15788.579887756152
2025-05-03,15327.713713320001,15269.130431856353,15316.06628758366,15327.868647570156
2025-05-04,38197.32375552346,39247.341118989985,38906.17146101097,38576.6482381368
2025-05-05,37071.78940850786,39597.324362924635,39519.21519696438,38276.11456043962
2025-05-06,39293.46535753053,36817.56622365062,38629.08781888879,39268.453594155246
2025-05-07,38285.59177388482,37349.736668764315,37461.244050531044,38391.756860910275
2025-05-08,38921.49897192088,39151.910999470594,38850.63977774213,38880.84438629041
2025-05-09,15255.19932289239,15042.619676746255,15185.568572631686,15199.689187168276
2025-05-10,15183.632138390984,15207.401665296982,15107.297998066697,15124.242622941174
2025-05-11,37355.59787235091,37045.008629172495,37442.2276746706,37792.11665470773
2025-05-12,37582.681363026924,36958.98545462832,36767.71417353596,36584.587986889645
2025-05-13,37313.9969307825,35774.42764924765,36235.80129138808,36672.353539280164
2025-05-14,36188.1183993386,35991.12357771163,36188.18992542153,36839.89419507182
2025-05-15,35731.6665200218,34989.96109995363,35593.61120114847,35764.91714429908
2025-05-16,14486.06468233879,14788.155519992491,14510.632287426646,14572.274633148874
2025-05-17,15591.690342967633,15578.63639977008,15598.759257307061,15603.02938897579
2025-05-18,35972.17020030436,35760.56897955587,35961.17740445001,36077.472554403226
2025-05-19,34489.59969440442,34001.16050444603,34316.44065139608,34369.86420132789
2025-05-20,38875.71487880024,38929.26476427356,37930.12541992389,38052.52451136874
2025-05-21,37087.89734176044,36024.72589973527,35925.77736298568,36145.19954220867
2025-05-22,35516.224054218095,34152.37127390849,34419.94437174817,34260.40027220362
2025-05-23,15452.150342058743,14964.704911936902,15352.249961154484,15406.663022140398
2025-05-24,14301.059967591973,14361.871004530562,14313.503607578805,14316.781131688813
2025-05-25,35514.64359933762,35169.52943069328,35523.14431583873,35668.49475777013
2025-05-26,38030.590365283446,37968.96352047278,37903.0728682381,37853.61824314819
2025-05-27,36774.45416571854,34439.133813864406,33964.387062383415,34171.58993056535
2025-05-28,35668.70797776392,34811.81835351088,35279.162851504,35361.013328659414
2025-05-29,40326.74163589452,37826.605530370995,38165.630279349316,38437.797287406735
