日期,w1_L(d-7),w2_L(d-14),w3_典型日,u1_P(d-1),u2_P(d-2),u3_典型日,计划购电量/kWh,计划购电费/元,紧急购电量/kWh,紧急购电费/元,平衡残差/kWh,储电量最小/kWh,储电量最大/kWh
2025-04-12,0.4,0.6,0.0,0.0,0.4,0.6,28724.95289,14467.320554619999,15.504201975319221,33.14798382324777,1.1368683772161603e-13,1249.4432717777772,10800.0
2025-04-13,0.4,0.6,0.0,0.0,0.4,0.6,61746.89146086419,36657.52754114137,111.96048503334892,558.174006480478,2.2737367544323206e-13,1200.0,10800.0
2025-04-14,0.6,0.4,0.0,0.0,0.4,0.6,62654.790278477376,36964.997780865175,282.4623518539173,1740.6725591133495,2.2737367544323206e-13,1200.0,10800.0
2025-04-15,0.8,0.2,0.0,0.0,0.4,0.6,63337.6076126749,37742.585992578104,69.16837856667594,359.8675960558297,2.2737367544323206e-13,1200.0,10800.0
2025-04-16,0.8,0.2,0.0,0.0,0.4,0.6,62387.630107283956,36967.99702425141,196.9248809983676,606.7929884656862,2.2737367544323206e-13,1200.0,10800.0
2025-04-17,0.6,0.4,0.0,0.0,0.6,0.4,59318.504772386834,35439.309085361274,96.58968766668343,653.7130490916742,2.2737367544323206e-13,1200.0,10800.0
2025-04-18,0.6,0.4,0.0,0.0,0.6,0.4,27622.672026666667,13657.53106948,1.003042093827844e-11,4.133641440251523e-11,1.1368683772161603e-13,1310.3245638888907,10800.0
2025-04-19,0.6,0.4,0.0,0.0,0.6,0.4,27653.121730000006,13792.475443227668,9.779288490108229e-12,3.224347033814468e-11,1.1368683772161603e-13,1401.2301293703692,10800.0
2025-04-20,0.8,0.2,0.0,0.0,0.6,0.4,59974.79697720165,35567.78467838924,1.2867040766195714e-11,4.16900500788131e-11,2.2737367544323206e-13,1352.4852123333349,10800.0
2025-04-21,0.6,0.4,0.0,0.0,0.6,0.4,60344.38065469136,35599.36601160445,207.864331044049,848.5347503730599,2.2737367544323206e-13,1200.0,10800.0
2025-04-22,0.6,0.4,0.0,0.2,0.4,0.4,58973.51020382716,35188.14070023573,83.63444300413042,178.8104391428538,2.2737367544323206e-13,1273.0029227777786,10800.0
2025-04-23,0.6,0.4,0.0,0.4,0.2,0.4,59254.18329053498,35107.66371042968,1.528754900448348e-11,5.1191744510070693e-11,1.1368683772161603e-13,1240.2676216666666,10800.0
2025-04-24,0.6,0.4,0.0,0.2,0.6,0.2,57583.52722270164,34156.25721290548,77.9417339831456,232.21744259107666,2.2737367544323206e-13,1200.0,10800.0
2025-04-25,0.4,0.6,0.0,0.4,0.4,0.2,26423.806216666668,12801.580039802333,122.58852249877407,351.51771158139456,1.1368683772161603e-13,1200.0,10800.0
2025-04-26,0.4,0.6,0.0,0.4,0.4,0.2,26008.711633333332,12568.426762587002,265.8575715506287,969.5950609462595,1.1368683772161603e-13,1200.0,10800.0
2025-04-27,0.4,0.6,0.0,0.4,0.4,0.2,53191.551895679004,31733.337115109407,743.6728022843774,4809.638127447281,2.2737367544323206e-13,1200.0,10800.0
2025-04-28,0.0,1.0,0.0,0.4,0.4,0.2,54423.58371917695,32740.303586857062,5081.143817900018,34183.245278004324,2.913225216616411e-13,1200.0,10058.561443333328
2025-04-29,0.2,0.8,0.0,0.2,0.2,0.6,62135.2317744856,36894.87867296516,34.36152666667823,239.7060100266997,2.2737367544323206e-13,1200.0,10800.0
2025-04-30,0.0,1.0,0.0,0.2,0.2,0.6,62503.35119777777,36974.899085048,63.26105000001766,292.82446340005896,1.1368683772161603e-13,1200.0,10800.0
2025-05-01,0.0,1.0,0.0,0.2,0.2,0.6,60302.616144567895,35883.85007001787,2725.370169135822,13106.905508881231,2.2737367544323206e-13,1200.0,10800.0
2025-05-02,0.0,1.0,0.0,0.2,0.2,0.6,27105.518143333335,13302.141115442668,2829.331976502069,13035.064552076441,1.1368683772161603e-13,1200.0,10800.0
2025-05-03,0.6,0.2,0.2,0.4,0.0,0.6,32133.600886666667,16957.280185373336,474.54513641975933,2263.161139648782,1.1368683772161603e-13,1200.0,10800.0
2025-05-04,0.6,0.2,0.2,0.4,0.0,0.6,60128.80719802469,35510.15188014668,2368.0744727160663,12126.586694290312,2.2737367544323206e-13,1200.0,10800.0
2025-05-05,0.8,0.0,0.2,0.4,0.0,0.6,59167.992667777784,34921.757823764485,2297.1836117819053,11821.062409297883,3.410605131648481e-13,1200.0,10800.0
2025-05-06,0.4,0.4,0.2,0.4,0.2,0.4,57878.60237975309,34127.35151960889,2507.6229267489866,12375.656876972676,2.2737367544323206e-13,1200.0,10800.0
2025-05-07,0.4,0.4,0.2,0.4,0.2,0.4,57877.56431839507,34127.4189449063,3142.9240323123604,17465.05025995757,2.1316282072803006e-13,1200.0,10800.0
2025-05-08,0.8,0.0,0.2,0.4,0.0,0.6,62791.65778707819,38115.46734958753,587.5114742946672,3410.915583259015,2.2737367544323206e-13,1200.0,10800.0
2025-05-09,0.8,0.0,0.2,0.2,0.4,0.4,33198.91769333334,18143.109716016,1.0902390101819037e-11,4.2279324929950235e-11,1.1368683772161603e-13,1898.0975185185205,10800.0
2025-05-10,0.8,0.0,0.2,0.4,0.0,0.6,34083.86210666667,18848.362896265335,1.0124470706251998e-11,3.686801763880254e-11,1.1368683772161603e-13,2062.08215925926,10800.0
2025-05-11,1.0,0.0,0.0,0.4,0.2,0.4,64350.28194300412,38875.59758695128,311.52627383334624,2120.361005767372,2.2737367544323206e-13,1200.0,10800.0
2025-05-12,1.0,0.0,0.0,0.0,0.6,0.4,64960.85713809835,39083.87329583672,41.4124507000127,205.80605946248326,1.1368683772161603e-13,1200.0,10800.0
2025-05-13,1.0,0.0,0.0,0.4,0.4,0.2,60022.55772950617,36240.30211734671,166.7232566666827,1062.7448994217193,2.2737367544323206e-13,1200.0,10800.0
2025-05-14,1.0,0.0,0.0,0.4,0.4,0.2,59437.04962641976,36111.86386322847,1.7544188324336574e-11,5.761640720081118e-11,1.1368683772161603e-13,1338.7783407407414,10800.0
2025-05-15,1.0,0.0,0.0,0.4,0.4,0.2,59125.63504666666,35840.93065207334,141.63207620001907,688.256117126276,2.2737367544323206e-13,1200.0,10800.0
2025-05-16,1.0,0.0,0.0,0.2,0.6,0.2,28011.736293333335,14527.521964818668,456.01571152264216,974.9615912354277,1.1368683772161603e-13,1304.2048592592607,10800.0
2025-05-17,1.0,0.0,0.0,0.0,0.8,0.2,28765.5812,14963.699811752002,168.28459400000978,1007.3438119720329,1.1368683772161603e-13,1200.0,10800.0
2025-05-18,1.0,0.0,0.0,0.2,0.6,0.2,57022.635032674894,34998.85493041121,389.18861470084937,2160.8378279076087,2.2737367544323206e-13,1200.0,10250.62389707407
2025-05-19,1.0,0.0,0.0,0.4,0.4,0.2,60233.39328139917,36238.75245076085,483.4826290205914,2389.6303835827002,2.2737367544323206e-13,1200.0,10800.0
2025-05-20,1.0,0.0,0.0,0.4,0.4,0.2,57096.06763901234,34603.431598333875,1071.9395596140234,5817.707995914057,2.2737367544323206e-13,1200.0,10751.172123074071
2025-05-21,1.0,0.0,0.0,0.2,0.6,0.2,56408.37105481481,34361.27700953326,732.5962973140109,3929.3240525995125,2.2737367544323206e-13,1200.0,10800.0
2025-05-22,0.4,0.6,0.0,0.2,0.6,0.2,59324.901991728395,35841.83916635893,65.64512053334388,440.94394876856603,2.2737367544323206e-13,1200.0,10800.0
2025-05-23,0.2,0.8,0.0,0.2,0.6,0.2,27466.6225,14238.548567611002,108.2295968724336,231.39487811328257,1.1368683772161603e-13,1201.694722222226,10800.0
2025-05-24,0.4,0.6,0.0,0.2,0.6,0.2,28246.484239999998,14656.270369769001,6.124878382252064e-12,2.7778921385390728e-11,1.1368683772161603e-13,1343.3165259259279,10800.0
2025-05-25,0.4,0.6,0.0,0.2,0.6,0.2,57891.45973152263,35240.78665441466,116.26206233334607,514.8190711728716,1.1368683772161603e-13,1200.0,10800.0
2025-05-26,0.2,0.8,0.0,0.2,0.6,0.2,56081.00407625515,34064.269086893546,1997.8092786181196,13109.430390812242,2.4868995751603507e-13,1200.0,10674.455576629633
2025-05-27,0.4,0.6,0.0,0.6,0.0,0.4,63133.03311835391,37996.33460749192,208.66722440330338,745.4891415942736,2.2737367544323206e-13,1200.0,10800.0
2025-05-28,0.4,0.6,0.0,0.0,0.6,0.4,63229.47395596707,37991.48158766168,51.39534000001943,358.53389184005385,2.2737367544323206e-13,1200.0,10800.0
2025-05-29,0.4,0.6,0.0,0.6,0.0,0.4,60690.93904806584,36485.78888893263,362.4995558847888,2387.3097943516887,1.1368683772161603e-13,1200.0,10800.0
2025-05-30,0.6,0.4,0.0,0.2,0.4,0.4,28785.93793666666,14950.202573435332,9.757528118825576e-12,3.720597963052796e-11,1.1368683772161603e-13,1510.9159259259234,10800.0
2025-05-31,0.6,0.4,0.0,0.4,0.2,0.4,29191.525419999998,15313.682229045,6.760147996942578e-12,2.5905312117657785e-11,1.1368683772161603e-13,1433.5348777777756,10800.0
2025-06-01,0.8,0.2,0.0,0.0,0.6,0.4,61247.709134444456,37309.38939779482,12665.959961246921,74650.59584089454,2.2737367544323206e-13,1200.0,9289.958517
2025-06-02,0.6,0.4,0.0,0.0,0.0,1.0,68323.08622674897,41779.114452596,5326.91914826627,28030.066300066544,2.7711166694643907e-13,1200.0,10312.445351962962
2025-06-03,0.0,1.0,0.0,0.0,0.0,1.0,69112.71992798353,42408.32807539247,3409.943820411539,15669.44974790803,2.8421709430404007e-13,1200.0,10735.943733888884
2025-06-04,0.0,1.0,0.0,0.0,0.0,1.0,68936.71919423869,42142.2893169342,4707.600790532939,25201.984002932353,3.268496584496461e-13,1200.0,9234.804134999998
2025-06-05,0.0,1.0,0.0,0.0,0.0,1.0,68401.33760061729,41858.03874006074,6754.277958417715,36221.532091215064,2.2737367544323206e-13,1200.0,9242.950560000001
2025-06-06,0.0,1.0,0.0,0.0,0.0,1.0,31638.339799999998,17042.988429291665,4554.993591024706,23156.238074739776,1.1368683772161603e-13,1200.0,10800.0
2025-06-07,0.0,1.0,0.0,0.0,0.0,1.0,31649.16915,17021.131958060003,3365.7206642078304,15933.897436274583,1.1368683772161603e-13,1200.0,10800.0
2025-06-08,0.0,1.0,0.0,0.0,0.0,1.0,68967.55328230454,42292.31296274933,3411.0523131687405,14748.096007546861,3.126388037344441e-13,1200.0,10800.0
2025-06-09,0.8,0.2,0.0,0.0,0.0,1.0,75060.73851555557,46864.731144572004,799.9235475720352,4098.34576683736,2.2737367544323206e-13,1200.0,10800.0
2025-06-10,1.0,0.0,0.0,0.0,0.0,1.0,76835.284481893,48301.29093694418,226.0244078189487,1143.2715768252613,2.8421709430404007e-13,1200.0,10800.0
2025-06-11,1.0,0.0,0.0,0.0,0.0,1.0,77330.86254897118,48310.12713647465,3791.1575232572154,23922.08556711661,2.5579538487363607e-13,1200.0,10800.0
2025-06-12,1.0,0.0,0.0,0.0,0.0,1.0,77210.53659012346,48494.87740579697,586.303983833355,3808.317016059753,2.2737367544323206e-13,1200.0,10800.0
2025-06-13,1.0,0.0,0.0,0.0,0.0,1.0,38137.88883333333,22199.778682493336,1.148414696672262e-11,3.78516786803118e-11,1.1368683772161603e-13,1464.598245185186,10800.0
2025-06-14,1.0,0.0,0.0,0.2,0.0,0.8,37820.63415666667,21891.410547684667,1.2752465750054398e-11,4.7676167902466205e-11,1.4921397450962104e-13,1418.1466112592595,10800.0
2025-06-15,1.0,0.0,0.0,0.2,0.0,0.8,76911.65290484115,48102.8932508571,111.0283533333577,754.0691318050802,2.2737367544323206e-13,1613.5499481481459,10800.0
