日期,主方案紧急量/kWh,官方三点紧急量/kWh
2025-03-12,1.6003198766156856e-11,1.5998757874058356e-11
2025-03-13,1.2520096071000353e-11,1.3485101924004539e-11
2025-03-14,1.465338961281759e-11,1.583893086132271e-11
2025-03-15,5.942877730010421,5.942877730010341
2025-03-16,1.6400000000182864,1.640000000022778
2025-03-17,2.4205082382877663e-11,115.08398333335164
2025-03-18,361.30002693335604,2.120659203797004e-11
2025-03-19,2.084421524273239e-11,2.2604584870578037e-11
2025-03-20,2.9298582000189866,386.89425315112936
2025-03-21,115.07968053334434,115.07968053334145
2025-03-22,1.2611245381322078e-11,1.2714274078007293e-11
2025-03-23,1.7621459846850485e-11,1.7617907133171684e-11
2025-03-24,1.985839270801648e-11,167.25800187268356
2025-03-25,1.7287338227589544e-11,1.7724710588140624e-11
2025-03-26,1.8609558338766874e-11,2.2807533639479516e-11
2025-03-27,1.716049524702612e-11,18.977986744236624
2025-03-28,9.034550885189674e-12,9.64917035162216e-12
2025-03-29,1.3709033908071433e-11,1.318589681886806e-11
2025-03-30,2.34070540727771e-11,2.0739854278417624e-11
2025-03-31,2.0765833497193853e-11,1.880007260979255e-11
2025-04-01,2.170619239905136e-11,1.6473933328597923e-11
2025-04-02,1.636625557299709e-11,1.8657630995733143e-11
2025-04-03,1.7629009363417936e-11,1.752331613147362e-11
2025-04-04,1.0914935621997301e-11,1.2790102310589191e-11
2025-04-05,1.070965538474411e-11,1.0909495529176638e-11
2025-04-06,1.2181367026187218e-11,1.2383871705878846e-11
2025-04-07,1.7214674130627827e-11,2.166555823635008e-11
2025-04-08,2.2752355555155646e-11,2.391231657128401e-11
2025-04-09,1.6927792501064687e-11,1.7396972751271278e-11
2025-04-10,1.8909318555415666e-11,1.922151326994026e-11
2025-04-11,1.0608680600654452e-11,16.407918364451614
2025-04-12,1.0856315846297093e-11,1.256456050313659e-11
2025-04-13,2.3388402325963398e-11,2.2303936475509545e-11
2025-04-14,58.88996380002035,2.2344126549000976e-11
2025-04-15,1.901323543052058e-11,1.773736713062135e-11
2025-04-16,1.674838046028526e-11,1.8530954548623413e-11
2025-04-17,1.2411960348401863e-11,1.4476086995784954e-11
2025-04-18,1.0394685112657953e-11,1.0150991158752731e-11
2025-04-19,7.966516335500273e-12,7.2382100313461706e-12
2025-04-20,1.708155838997527e-11,1.8124723943913068e-11
2025-04-21,2.176259172870232e-11,2.346700611610686e-11
2025-04-22,2.7147506465041715e-11,2.532807297228601e-11
2025-04-23,2.624167549925005e-11,2.1382451365070665e-11
2025-04-24,2.007052163355283e-11,2.036539686889327e-11
2025-04-25,8.773426429797837e-12,9.764633546183177e-12
2025-04-26,1.0828671292983927e-11,9.487521879236738e-12
2025-04-27,2.162137135997e-11,2.1244783710017145e-11
2025-04-28,2.0159873770353443e-11,1.9102941450910293e-11
2025-04-29,1.749156375296934e-11,1.9763524150562262e-11
2025-04-30,1.9147877727831997e-11,1.9050178101664983e-11
2025-05-01,1205.694396333352,1183.7730787966884
2025-05-02,1161.8112239333436,1134.237022933341
2025-05-03,171.17143672200947,148.88502372200978
2025-05-04,1235.68758074269,1213.2994488526892
2025-05-05,1024.9356684613472,998.7790462846855
2025-05-06,1198.235395577625,1604.8949829016794
2025-05-07,1169.9792912573485,1194.3295933662857
2025-05-08,148.05064371965932,35.99925000002365
2025-05-09,1.1243450614983885e-11,1.1158185486692673e-11
2025-05-10,1.0395240224170266e-11,1.1105782959930366e-11
2025-05-11,41.18071666668534,41.18071666668605
2025-05-12,2.0122570276726037e-11,1.936140137104303e-11
2025-05-13,1.737898713827235e-11,2.0444979043077183e-11
2025-05-14,2.2432722346366063e-11,2.283684352732962e-11
2025-05-15,1.517896919267514e-11,1.722533227166423e-11
2025-05-16,9.00213237287062e-12,1.0181633314232386e-11
2025-05-17,1.1588424664310537e-11,1.4114848179147543e-11
2025-05-18,5.236666666688887,5.236666666686955
2025-05-19,67.00333333334957,67.00333333334756
2025-05-20,2.3992363651359483e-11,2.5985436025166564e-11
2025-05-21,2.106029239890006e-11,1.5497630956318176e-11
2025-05-22,2.5700000000188363,2.5700000000217016
2025-05-23,9.767298081442277e-12,8.918199512208957e-12
2025-05-24,1.0066059097368907e-11,1.0147771511981318e-11
2025-05-25,1.727262777251326e-11,1.812078265217565e-11
2025-05-26,2.3312685115683962e-11,1.730393606180769e-11
2025-05-27,1.429012463916024e-11,1.3391732167633563e-11
2025-05-28,2.240563290456521e-11,2.2649437880772894e-11
2025-05-29,17.817433333351634,1.9437673692834778e-11
2025-05-30,1.1049827719489258e-11,1.3113066188452649e-11
2025-05-31,6.947997732709155e-12,6.3724581167434735e-12
2025-06-01,1778.7176860889558,1508.8698097940146
2025-06-02,1413.225298438684,1462.4742282957968
2025-06-03,1355.471204424687,1342.3915921413513
2025-06-04,1229.8066646133507,1216.964628963347
2025-06-05,1713.817257720019,1700.9752220700188
2025-06-06,1754.998506333345,2280.8010905780106
2025-06-07,1495.3620998553429,1480.454117888682
2025-06-08,501.4337847233523,488.59174907335023
2025-06-09,288.03850233334754,238.40211760001407
2025-06-10,124.93096693334621,124.9309669333457
2025-06-11,219.88587721329688,117.84584113335274
2025-06-12,2.1778467917954458e-11,2.0645818388231874e-11
2025-06-13,1.5022427746202993e-11,1.854671971557309e-11
2025-06-14,1.586253350893685e-11,1.4704348849647886e-11
2025-06-15,46.05086233334837,46.05086233335101
2025-06-16,23.222060333350264,23.222060333353006
2025-06-17,87.42104966667979,87.42104966667917
2025-06-18,61.36723333334812,61.36723333334833
2025-06-19,112.57785200001646,112.57785200001837
2025-06-20,9.20030718276621e-12,1.05538910943892e-11
2025-06-21,9.911849119248473e-12,8.997025346957344e-12
2025-06-22,75.24285200001724,75.24285200001799
2025-06-23,23.729429000016292,23.729429000018627
2025-06-24,18.82476000001775,18.82476000001631
2025-06-25,14.145278666684996,14.145278666687263
2025-06-26,56.111167666682995,56.11116766668703
2025-06-27,9.36495325731812e-12,1.35583766436298e-11
2025-06-28,1.2204903754309271e-11,1.4646506230064915e-11
2025-06-29,7.865413000018108,7.865413000021349
2025-06-30,95.30970000001756,95.3097000000179
2025-07-01,2139.7899638077924,1935.0634805422364
2025-07-02,2116.443058754785,2941.1463840766764
2025-07-03,1812.6975849300134,1799.6179726466814
2025-07-04,4316.014658952117,5705.195350020229
2025-07-05,3655.6700248747825,4962.002913712672
2025-07-06,2022.4044138953398,2739.388950938673
