日期,日内最低/kWh,日内最高/kWh
2025-11-28,1200.0,10800.0
2025-11-29,1200.0,10800.0
2025-11-30,1200.0,10797.94732916026
2025-12-01,1200.0,10800.0
2025-12-02,1200.0,10800.0
2025-12-03,1200.0,10800.0
2025-12-04,1200.0,10800.0
2025-12-05,1200.0,10800.0
2025-12-06,1200.0,10800.0
2025-12-07,1200.0,10800.0
2025-12-08,1200.0,10800.0
2025-12-09,1200.0,10800.0
2025-12-10,1200.0,10800.0
2025-12-11,1200.0,10800.0
2025-12-12,1200.0,10800.0
2025-12-13,1200.0,10798.504834013545
2025-12-14,1200.0,10800.0
2025-12-15,1200.0,10800.0
2025-12-16,1200.0,10800.0
2025-12-17,1200.0,10800.0
2025-12-18,1200.0,10800.0
2025-12-19,1200.0,10798.988009706838
2025-12-20,1200.0,10798.72029007184
2025-12-21,1200.0,10800.0
2025-12-22,1200.0,10800.0
2025-12-23,1200.0,10800.0
2025-12-24,1200.0,10800.0
2025-12-25,1200.0,10800.0
2025-12-26,1200.0,10799.321700065826
2025-12-27,1200.0,10800.0
2025-12-28,1200.0,10800.0
2025-12-29,1200.0,10800.0
2025-12-30,1200.0,10800.0
2025-12-31,1200.0,10800.0
