日期,H紧急量/kWh,G紧急量/kWh
2025-08-14,36.86957306667329,36.86957306667414
2025-08-15,7.925216038984217e-12,6.072475855489756e-12
2025-08-16,6.9828587356823846e-12,27.569565910007306
2025-08-17,20.481066666674316,20.481066666674362
2025-08-18,188.18657160000896,188.18657160000947
2025-08-19,157.96005580001045,157.96005580000997
2025-08-20,2988.808265001337,2911.2621755213404
2025-08-21,4.364680000010959,4.3646800000100425
2025-08-22,35.93570965600573,101.74901123333841
2025-08-23,5.9960925113955454e-12,3.90265597616235e-12
2025-08-24,1.1720624470967778e-11,1.4206191778498578e-11
2025-08-25,2.3449686636922706e-11,2.2668089627586596e-11
2025-08-26,5.700793466675968,5.700793466674513
2025-08-27,14.042593333343497,14.04259333334242
2025-08-28,78.80900753334694,78.80900753334654
2025-08-29,8.027467579552194e-12,8.095746295566641e-12
2025-08-30,9.472422846101836e-12,1.0316192344816955e-11
2025-08-31,61.17780440001041,61.177804400010515
2025-09-01,1.588063014423824e-11,1.815436689867056e-11
2025-09-02,7.414513447656645e-12,1.1553424883459229e-11
2025-09-03,1.2474021815478409e-11,1.3340883953105731e-11
2025-09-04,8.558487252230407e-12,1.2992273923373432e-11
2025-09-05,1.1340262062731199e-11,1.3443468560581096e-11
2025-09-06,1.1155520951433573e-11,1.5276668818842154e-11
2025-09-07,6.225242543678178e-12,8.760991931922035e-12
2025-09-08,364.4938868268076,556.2916796281427
2025-09-09,9.583445148564351e-12,1.2368772672743944e-11
2025-09-10,296.3760166666785,770.0669588493439
2025-09-11,1.1334932992212998e-11,1.2017054018542694e-11
2025-09-12,1.0858869359253731e-11,9.100276088247483e-12
2025-09-13,1.0464074051697025e-11,1.1377121467148754e-11
2025-09-14,1.393885007416884e-11,3.5550000000122486
2025-09-15,1.171766666678904,1.1717666666801758
2025-09-16,8.238266666678477,13.092750000012524
2025-09-17,69.07701438734708,46.07211088534064
2025-09-18,21.105021571340686,1.1223730278508981e-11
2025-09-19,1.3861356507050004e-11,1.3017142919125035e-11
2025-09-20,122.20634093134422,207.08965189534126
2025-09-21,1.425970452828551e-11,8.44500000001129
2025-09-22,14.993896333352128,1.7916335082190926e-11
2025-09-23,69.336318384682,92.78777572934492
2025-09-24,1.2965406526177503e-11,1.1490586260265445e-11
2025-09-25,15.3716666666809,31.886366666677837
2025-09-26,1.3017406597093384e-11,1.0482989476479077e-11
2025-09-27,178.76798695067373,283.681579364672
2025-09-28,40.664791802013454,40.66479180201135
2025-09-29,44.82709364334424,44.82709364334035
2025-09-30,1.5638601524869955e-11,45.872130328011295
2025-10-01,1.198419141701379e-11,1.5544010523171892e-11
2025-10-02,1.1950440637065185e-11,1.0767386982024618e-11
2025-10-03,1.035616037370346e-11,8.572698106945609e-12
2025-10-04,9.137579581874888e-12,1.000355354108251e-11
2025-10-05,1.105959768210596e-11,1.0877521106067434e-11
2025-10-06,8.660183681286071e-12,1.155919804318728e-11
2025-10-07,1.2238654534257876e-11,1.1659562204613394e-11
2025-10-08,1.3780532270857293e-11,1.5554668664208293e-11
2025-10-09,1.2304934848827997e-11,1.576105912448611e-11
2025-10-10,1.1938894317609083e-11,1.1505463248795422e-11
2025-10-11,1.0906997527371232e-11,1.0236256287043943e-11
2025-10-12,20.929933333344202,20.929933333350828
2025-10-13,1.7644108396552838e-11,1.5644374684598006e-11
2025-10-14,644.0701871333528,644.0701871333508
2025-10-15,281.87043225202063,289.058372602016
2025-10-16,1017.4250438833482,1028.7534582293436
2025-10-17,49.859234975342474,78.99672164200823
2025-10-18,1.219468970248272e-11,1.1896261753463477e-11
2025-10-19,837.0509230553499,867.5437046406801
2025-10-20,723.7185057680174,746.6506320346825
2025-10-21,1.9730883593638282e-11,1.7762680215582805e-11
2025-10-22,290.78714196068194,284.1560472473466
2025-10-23,1.3032297463411169e-11,1.1879885963850256e-11
2025-10-24,175.137366471346,175.1373664713445
2025-10-25,20.188533202676886,20.188533202676076
2025-10-26,1.581135222750163e-11,1.98578931076554e-11
2025-10-27,256.7768202333482,286.40870443334614
2025-10-28,126.90978806268538,145.72522855134798
2025-10-29,2128.175108478016,2135.1607157886783
2025-10-30,3.334630466681576,3.334630466685139
2025-10-31,1.2640999358382032e-11,1.2640999358382032e-11
2025-11-01,1.4026779737719153e-11,1.120525894293678e-11
2025-11-02,31.801277394681957,18.537415497342124
2025-11-03,2.299882506662243e-11,2.1987189846583988e-11
2025-11-04,101.88193466201145,100.04247519867954
2025-11-05,1.8566037596201568e-11,1.3838707957347651e-11
2025-11-06,1267.541203095349,1339.9523442953473
2025-11-07,1.1778467090550748e-11,1.2244427693985926e-11
2025-11-08,1.517719283583574e-11,1.4811263326919288e-11
2025-11-09,330.1409015433479,696.6123548033477
2025-11-10,544.4378925586822,511.40525438735034
2025-11-11,2.051666666683582,2.05166666667854
2025-11-12,11.77333333334457,11.773333333346976
2025-11-13,2.164046719599355e-11,75.42917680668394
2025-11-14,1.6307843964114e-11,1.6614709608120393e-11
2025-11-15,1.2993606191002982e-11,29.92808641467834
2025-11-16,2.0113688492529036e-11,2.7407333333464408
2025-11-17,1.1713296999005252e-11,9.846345960795588e-12
2025-11-18,2.1511903369741958e-11,113.00888673734755
2025-11-19,265.0660559906806,287.9536477980086
2025-11-20,2.12763140439165e-11,1.616173861407333e-11
2025-11-21,21.37184494334307,107.74595222667475
2025-11-22,1.5856205237696486e-11,37.6528738886845
2025-11-23,1.6917134360028285e-11,1.5847767542709335e-11
2025-11-24,45.64686553668275,294.1866329180116
2025-11-25,1.7339518709746926e-11,266.6477303900179
2025-11-26,455.81050273868914,518.5277255400208
2025-11-27,2.148636824017558e-11,2.1022295015882264e-11
2025-11-28,154.49813752601048,209.65076391027534
2025-11-29,1079.2119808493492,1208.42051990068
2025-11-30,1.6004975122996257e-11,6.062833333353327
2025-12-01,4441.3448571480185,4419.00474101335
2025-12-02,6757.460949604679,6771.3456343709695
2025-12-03,3258.324757359349,3293.321103805346
2025-12-04,4509.507556166682,4599.12672618668
2025-12-05,5208.840256502428,5268.901446347766
2025-12-06,595.3785105473478,594.6023945860146
2025-12-07,4534.277148582676,4535.632299949488
2025-12-08,6008.676890227742,6004.372419057343
2025-12-09,503.977572104685,524.1943930693517
2025-12-10,1.8880452756775412e-11,1.6827872428848423e-11
2025-12-11,1.496891499641606e-11,1.0841549880069579e-11
2025-12-12,398.7078661000216,398.7078661000205
2025-12-13,533.049189363356,627.7517311276347
2025-12-14,1.826072626442965e-11,1.1016743073355428e-11
2025-12-15,1.7630966131498838e-11,1.551665740340269e-11
2025-12-16,1.7632562077096736e-11,1.539346428103272e-11
2025-12-17,1.7834178578368665e-11,1.3736567439082137e-11
2025-12-18,70.56345267334802,96.24906587668649
2025-12-19,1.8344395447122963e-11,1.874940480650622e-11
2025-12-20,1.3236522988790966e-11,1.3009149313347734e-11
2025-12-21,10.132550000015485,10.132550000014884
2025-12-22,93.3346694833505,93.33466948334944
2025-12-23,1.50606194182501e-11,1.3138601318019028e-11
2025-12-24,6.867716666680884,55.24959000001483
2025-12-25,1.3121132800147481,1.6387557977282086e-11
2025-12-26,1.5742407377672407e-11,1.4875545240045085e-11
2025-12-27,1.80757631085271e-11,1.7114754058411563e-11
2025-12-28,21.346283333352343,21.346283333350044
2025-12-29,1.8814894087171297e-11,1.323180454093631e-11
2025-12-30,41.65595556001168,41.65595556001618
2025-12-31,305.9439056666836,256.46681721668386
