日期,w1_L(d-7),w2_L(d-14),w3_典型日,u1_P(d-1),u2_P(d-2),u3_典型日,w1_L(d-7)_平滑,w2_L(d-14)_平滑,w3_典型日_平滑,u1_P(d-1)_平滑,u2_P(d-2)_平滑,u3_典型日_平滑
2025-05-16,1.0,0.0,0.0,0.4,0.4,0.2,0.9866666666666666,0.0,0.013333333333333334,0.44000000000000006,0.2533333333333333,0.30666666666666664
2025-05-17,1.0,0.0,0.0,0.4,0.4,0.2,1.0,0.0,0.0,0.4266666666666667,0.29333333333333333,0.28
2025-05-18,1.0,0.0,0.0,0.4,0.4,0.2,1.0,0.0,0.0,0.4,0.3333333333333333,0.26666666666666666
2025-05-19,1.0,0.0,0.0,0.4,0.4,0.2,0.9866666666666667,0.013333333333333341,0.0,0.3733333333333333,0.3733333333333333,0.25333333333333335
2025-05-20,1.0,0.0,0.0,0.4,0.4,0.2,0.9733333333333334,0.026666666666666675,0.0,0.3733333333333333,0.3733333333333333,0.25333333333333335
2025-05-21,1.0,0.0,0.0,0.2,0.6,0.2,0.9600000000000001,0.04000000000000001,0.0,0.3333333333333333,0.41333333333333333,0.25333333333333335
2025-05-22,1.0,0.0,0.0,0.2,0.6,0.2,0.9466666666666668,0.053333333333333344,0.0,0.3333333333333333,0.41333333333333333,0.25333333333333335
2025-05-23,1.0,0.0,0.0,0.2,0.6,0.2,0.9333333333333333,0.06666666666666668,0.0,0.3066666666666667,0.44,0.25333333333333335
2025-05-24,1.0,0.0,0.0,0.2,0.6,0.2,0.92,0.08000000000000002,0.0,0.29333333333333333,0.44,0.26666666666666666
2025-05-25,1.0,0.0,0.0,0.2,0.6,0.2,0.9066666666666667,0.09333333333333334,0.0,0.26666666666666666,0.4533333333333333,0.28
2025-05-26,0.8,0.2,0.0,0.2,0.6,0.2,0.8800000000000001,0.12000000000000002,0.0,0.24000000000000002,0.42666666666666664,0.3333333333333333
2025-05-27,0.8,0.2,0.0,0.6,0.0,0.4,0.8400000000000001,0.16000000000000003,0.0,0.21333333333333335,0.4,0.38666666666666666
2025-05-28,0.8,0.2,0.0,0.0,0.6,0.4,0.7733333333333334,0.22666666666666668,0.0,0.18666666666666665,0.3733333333333333,0.44000000000000006
2025-05-29,0.8,0.2,0.0,0.6,0.0,0.4,0.7066666666666668,0.29333333333333333,0.0,0.17333333333333334,0.3333333333333333,0.49333333333333335
2025-05-30,0.8,0.2,0.0,0.2,0.4,0.4,0.68,0.32,0.0,0.16,0.2933333333333333,0.5466666666666666
2025-05-31,0.8,0.2,0.0,0.2,0.4,0.4,0.6266666666666667,0.37333333333333335,0.0,0.14666666666666667,0.25333333333333335,0.6
2025-06-01,0.8,0.2,0.0,0.0,0.6,0.4,0.5866666666666667,0.41333333333333333,0.0,0.13333333333333333,0.21333333333333335,0.6533333333333334
2025-06-02,0.6,0.4,0.0,0.0,0.0,1.0,0.5733333333333335,0.4266666666666667,0.0,0.12000000000000001,0.17333333333333334,0.7066666666666667
2025-06-03,0.4,0.6,0.0,0.0,0.0,1.0,0.5733333333333334,0.4266666666666667,0.0,0.10666666666666667,0.13333333333333333,0.76
2025-06-04,0.0,1.0,0.0,0.0,0.0,1.0,0.5733333333333334,0.42666666666666664,0.0,0.06666666666666667,0.13333333333333333,0.8
2025-06-05,0.0,1.0,0.0,0.0,0.0,1.0,0.5866666666666667,0.41333333333333333,0.0,0.06666666666666667,0.09333333333333332,0.84
2025-06-06,0.6,0.4,0.0,0.0,0.0,1.0,0.6,0.4,0.0,0.02666666666666667,0.09333333333333332,0.88
2025-06-07,0.2,0.8,0.0,0.0,0.0,1.0,0.6133333333333334,0.38666666666666666,0.0,0.013333333333333334,0.06666666666666667,0.92
2025-06-08,0.4,0.6,0.0,0.0,0.0,1.0,0.6266666666666667,0.3733333333333333,0.0,0.0,0.04,0.9600000000000001
2025-06-09,0.8,0.2,0.0,0.0,0.0,1.0,0.64,0.36,0.0,0.0,0.0,1.0
2025-06-10,0.8,0.2,0.0,0.0,0.0,1.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,1.0
2025-06-11,0.8,0.2,0.0,0.0,0.0,1.0,0.7066666666666667,0.2933333333333333,0.0,0.0,0.0,1.0
2025-06-12,1.0,0.0,0.0,0.0,0.0,1.0,0.7733333333333333,0.22666666666666666,0.0,0.0,0.0,1.0
2025-06-13,1.0,0.0,0.0,0.0,0.0,1.0,0.84,0.16000000000000003,0.0,0.0,0.0,1.0
2025-06-14,1.0,0.0,0.0,0.0,0.0,1.0,0.8666666666666667,0.13333333333333333,0.0,0.0,0.0,1.0
2025-06-15,1.0,0.0,0.0,0.0,0.0,1.0,0.92,0.08000000000000002,0.0,0.0,0.0,1.0
2025-06-16,1.0,0.0,0.0,0.0,0.0,1.0,0.9600000000000001,0.04000000000000001,0.0,0.013333333333333334,0.0,0.9866666666666667
2025-06-17,1.0,0.0,0.0,0.0,0.0,1.0,0.9733333333333333,0.02666666666666667,0.0,0.02666666666666667,0.0,0.9733333333333333
2025-06-18,1.0,0.0,0.0,0.0,0.0,1.0,0.9866666666666667,0.013333333333333334,0.0,0.02666666666666667,0.0,0.9733333333333333
2025-06-19,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.02666666666666667,0.0,0.9733333333333333
2025-06-20,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.02666666666666667,0.0,0.9733333333333333
2025-06-21,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.02666666666666667,0.0,0.9733333333333333
