x,y1,y2,y3,y4,y5
13.75,5696.9182,6607.36,0.0,0.0,910.4418000000003
13.916666666666666,5692.2983,6412.5085,0.0,0.0,720.2102
14.083333333333334,5687.1291,6214.0158,0.0,0.0,526.8866999999998
14.25,5678.962,6000.7112,0.0,0.0,321.7491999999993
14.416666666666666,5669.4508,5766.9816,0.0,0.0,97.5308
14.583333333333334,5664.1948,5521.5066,0.0,142.68820000000028,0.0
14.75,5672.7011,5268.781,0.0,403.92010000000005,0.0
14.916666666666666,5682.2544,5009.7152,672.5392000000002,0.0,0.0
15.083333333333334,5669.0195,4743.4484,1600.3961617283944,0.0,674.8250617283944
15.25,5656.3651,4471.224,1185.1410999999998,0.0,0.0
15.416666666666666,5657.0867,4188.2025,1468.8841999999993,0.0,0.0
15.583333333333334,5662.6008,3889.3931,1773.2077000000002,0.0,0.0
15.75,5669.2596,3594.5946,2074.665,0.0,0.0
15.916666666666666,5673.4767,3303.8878,2369.5889000000006,0.0,0.0
16.083333333333332,5671.0146,2998.4247,2672.5899000000004,0.0,0.0
16.25,5661.5926,2687.4131,2974.1794999999993,0.0,0.0
16.416666666666668,5665.8922,2383.1779,3282.7143,0.0,0.0
16.583333333333332,5689.0372,2089.1246,3599.9125999999997,-0.0,0.0
16.75,5603.6614,1791.0829,3812.5785,-0.0,0.0
16.916666666666668,5466.7124,1501.7283,3964.9841,-0.0,0.0
17.083333333333332,5467.3939,1255.1723,4212.2216,-0.0,0.0
17.25,5464.727,1036.3323,4428.3947,-0.0,0.0
17.416666666666668,5492.4458,836.7775,4655.668299999999,-0.0,0.0
17.583333333333332,5621.7308,665.2313,4956.4995,0.0,0.0
17.75,5091.2126,516.6758,4574.5368,-0.0,0.0
17.916666666666668,4208.5688,386.6731,3821.8957,-0.0,0.0
18.083333333333332,4122.7611,275.7933,3191.3642999999993,655.6035000000003,0.0
18.25,4255.9358,182.9526,4072.9831999999997,0.0,0.0
18.416666666666668,4225.9524,108.3414,4117.611,0.0,0.0
18.583333333333332,4233.3384,54.3121,4179.0262999999995,0.0,0.0
18.75,4246.4625,18.6569,0.0,4227.8056,0.0
18.916666666666668,4239.1795,0.2753,0.0,4238.904200000001,0.0
19.083333333333332,4244.6684,0.2296,0.0,4244.4388,0.0
19.25,4251.9187,0.6007,0.0,4251.318000000001,0.0
19.416666666666668,4256.6813,0.0,0.0,4256.6813,0.0
19.583333333333332,4267.3947,0.0,0.0,4267.3947,0.0
19.75,4269.975,0.0,0.0,4269.975,0.0
19.916666666666668,4268.6702,0.0,0.0,4268.6702,0.0
20.083333333333332,4282.2245,0.0,0.0,4282.2245,0.0
20.25,4291.7049,0.0,0.0,4291.7049,0.0
20.416666666666668,4291.3611,0.0,0.0,4291.3611,0.0
20.583333333333332,4293.9182,0.0,0.0,4293.9182,0.0
20.75,4295.2135,0.0,4295.2135,-0.0,0.0
20.916666666666668,4302.0307,0.0,4302.0307,0.0,0.0
21.083333333333332,4320.9618,0.0,4320.9618,0.0,0.0
21.25,4302.3292,0.0,4302.3292,0.0,0.0
21.416666666666668,4322.6758,0.0,4322.6758,0.0,0.0
21.583333333333332,4428.8083,0.0,4428.8083,-0.0,0.0
21.75,4030.1614,0.0,4030.1614,-0.0,0.0
21.916666666666668,3362.7419,0.0,8362.741899999999,0.0,5000.0
22.083333333333332,3309.3934,0.0,8309.393399999999,0.0,5000.0
22.25,3412.9563,0.0,3412.9563,0.0,0.0
22.416666666666668,3381.9313,0.0,8381.9313,0.0,5000.0
22.583333333333332,3386.5592,0.0,8386.5592,0.0,5000.0
22.75,3400.4846,0.0,3400.4846,0.0,0.0
22.916666666666668,3399.2426,0.0,8399.2426,0.0,5000.0
23.083333333333332,3406.9809,0.0,3406.9809,0.0,0.0
23.25,3416.1518,0.0,5416.151800000001,0.0,2000.0
23.416666666666668,3421.9811,0.0,8421.981099999999,0.0,5000.0
23.583333333333332,3429.6923,0.0,3429.6923000000006,0.0,0.0
23.75,3439.061,0.0,3439.0609999999997,0.0,0.0
23.916666666666668,3444.7259,0.0,3444.7259000000004,0.0,0.0
