配置,总费用/万元,族
W7 κ=1.015+m=50,1412.0,精扫
W7 κ=1.015+m=100,1409.3,精扫
W7 κ=1.015+m=150,1410.3,精扫
W7 κ=1.02+m=50,1409.2,精扫
W7 κ=1.02+m=100,1409.4,精扫
W7 κ=1.02+m=150,1413.1,精扫
W7 κ=1.025+m=50,1409.6,精扫
W7 κ=1.025+m=100,1412.5,精扫
W7 κ=1.025+m=150,1417.2,精扫
W7 κ=1.02+小时裕度γ=0.5,1409.9,精扫
W7 κ=1.02+小时裕度γ=0.75,1414.2,精扫
W7 动态κ(60天q80),1419.4,精扫
W30 κ=1.015,1422.9,精扫
W30 κ=1.02,1418.5,精扫
W30 κ=1.025,1418.1,精扫
W30 κ=1.03,1420.1,精扫
W30 κ=1.035,1424.7,精扫
W30 κ=1.04,1430.5,精扫
W30 κ=1.015+m=50,1417.9,精扫
W30 κ=1.015+m=100,1417.3,精扫
W30 κ=1.015+m=150,1420.4,精扫
W30 κ=1.02+m=50,1417.2,精扫
W30 κ=1.02+m=100,1419.7,精扫
W30 κ=1.02+m=150,1424.5,精扫
W30 κ=1.025+m=50,1419.5,精扫
W30 κ=1.025+m=100,1424.3,精扫
W30 κ=1.025+m=150,1430.0,精扫
W30 κ=1.02+小时裕度γ=0.5,1419.7,精扫
W30 κ=1.02+小时裕度γ=0.75,1424.4,精扫
W30 动态κ(60天q80),1425.9,精扫
EWMA h=5 κ=1.015,1415.0,精扫
EWMA h=5 κ=1.02,1409.5,精扫
EWMA h=5 κ=1.025,1407.6,精扫
EWMA h=5 κ=1.03,1408.3,精扫
EWMA h=5 κ=1.035,1411.9,精扫
EWMA h=5 κ=1.04,1417.4,精扫
EWMA h=5 κ=1.015+m=50,1408.7,精扫
EWMA h=5 κ=1.015+m=100,1406.8,精扫
EWMA h=5 κ=1.015+m=150,1409.2,精扫
EWMA h=5 κ=1.02+m=50,1406.6,精扫
EWMA h=5 κ=1.02+m=100,1408.0,精扫
EWMA h=5 κ=1.02+m=150,1412.8,精扫
EWMA h=5 κ=1.025+m=50,1407.8,精扫
EWMA h=5 κ=1.025+m=100,1412.1,精扫
EWMA h=5 κ=1.025+m=150,1418.5,精扫
EWMA h=5 κ=1.02+小时裕度γ=0.5,1408.3,精扫
EWMA h=5 κ=1.02+小时裕度γ=0.75,1414.2,精扫
EWMA h=5 动态κ(60天q80),1418.2,精扫
EWMA h=5 κ=1.02+m=25,1407.6,精扫
EWMA h=5 κ=1.02+m=50,1406.6,精扫
EWMA h=5 κ=1.02+m=75,1406.8,精扫
EWMA h=5 κ=1.0225+m=25,1407.0,精扫
EWMA h=5 κ=1.0225+m=50,1406.7,精扫
EWMA h=5 κ=1.0225+m=75,1407.8,精扫
EWMA h=5 κ=1.025+m=25,1407.0,精扫
EWMA h=5 κ=1.025+m=50,1407.8,精扫
EWMA h=5 κ=1.025+m=75,1409.6,精扫
