日期,紧急购电量/kWh
2025-05-22,2.570000000017072
2025-05-23,145.36080162667352
2025-05-24,74.15767557667444
2025-05-25,12.04876666668104
2025-05-26,1.2932765969253524e-11
2025-05-27,1.1723289006226878e-11
2025-05-28,1.857669573723797e-11
2025-05-29,17.817433333348255
2025-05-30,9.202416606512998e-12
2025-05-31,5.936362512670712e-12
2025-06-01,2757.1155019540133
2025-06-02,2828.071620838678
2025-06-03,1699.7804490426793
2025-06-04,2337.2499680853493
2025-06-05,3634.0535627200143
2025-06-06,4113.295940660006
2025-06-07,2763.145144226009
2025-06-08,574.6539149320154
2025-06-09,257.9943554000163
2025-06-10,143.29638097334185
2025-06-11,117.84584113334692
2025-06-12,1.745392719243455e-11
2025-06-13,1.1892042905969902e-11
2025-06-14,1.4637291378960526e-11
2025-06-15,46.05086233334727
2025-06-16,16.331713333348393
2025-06-17,85.77652400001554
2025-06-18,61.36723333334385
2025-06-19,112.57785200001057
2025-06-20,7.632672271995489e-12
2025-06-21,5.586239804067361e-12
2025-06-22,65.0194376666838
2025-06-23,23.729429000016456
2025-06-24,18.824760000019026
2025-06-25,14.145278666681905
2025-06-26,56.95375300001179
2025-06-27,6.3158367424875905e-12
2025-06-28,6.547207220819473e-12
2025-06-29,13.671151666683155
2025-06-30,95.309700000014
2025-07-01,1805.0854743333473
2025-07-02,2528.496565817233
2025-07-03,4215.336330930011
2025-07-04,5794.051568005116
2025-07-05,4923.113960038673
2025-07-06,2876.02626238201
2025-07-07,3728.194188583343
2025-07-08,893.9337643046753
2025-07-09,292.2492028093392
2025-07-10,327.04205651200846
2025-07-11,94.99116144934185
2025-07-12,793.6857360746726
2025-07-13,216.77406726667772
2025-07-14,257.10014640000435
2025-07-15,19.681410666678037
2025-07-16,97.92928333334324
2025-07-17,29.804373266677764
2025-07-18,8.101075366084842e-12
2025-07-19,9.027445457832073e-12
2025-07-20,11.909984000013745
2025-07-21,11.915885666679038
2025-07-22,83.0492623333468
2025-07-23,38.406723666675205
2025-07-24,19.592866666683882
2025-07-25,6.155964626941568e-12
2025-07-26,6.4215299744319054e-12
2025-07-27,15.600300000017539
2025-07-28,9.526617000016305
2025-07-29,74.01063220001163
2025-07-30,1.1513012765362873e-11
2025-07-31,0.5206133333455552
2025-08-01,6.944667063635279e-12
2025-08-02,3.95689462600713
2025-08-03,139.59361720001414
2025-08-04,32.476140266681696
2025-08-05,0.09546953334347208
2025-08-06,9.659162358843787e-12
2025-08-07,24.96622913334465
2025-08-08,9.586997862243152e-12
2025-08-09,47.881249848673434
2025-08-10,1.793853954268343e-11
2025-08-11,205.3947920040075
2025-08-12,40.846044600015965
2025-08-13,60.83953893334335
2025-08-14,36.86957306667392
2025-08-15,8.22542034484286e-12
2025-08-16,27.56956591000718
2025-08-17,20.48106666667547
2025-08-18,188.1865716000109
2025-08-19,157.96005580001278
2025-08-20,63.14289015673444
2025-08-21,4.364680000009578
2025-08-22,99.57942210067114
2025-08-23,5.191402863147232e-12
2025-08-24,1.670019678101653e-11
2025-08-25,1.7179146993839822e-11
2025-08-26,5.700793466678638
2025-08-27,14.042593333343122
2025-08-28,95.12447193334681
2025-08-29,7.400302592941443e-12
2025-08-30,1.0170975173195984e-11
2025-08-31,61.1778044000108
2025-09-01,1.7671197838353692e-11
2025-09-02,1.3553602684623911e-11
2025-09-03,1.3571366253017914e-11
2025-09-04,1.802291649255494e-11
2025-09-05,1.2818190953112207e-11
2025-09-06,1.4338752407638822e-11
2025-09-07,1.2917666936118621e-11
2025-09-08,2.3997248632667834e-11
2025-09-09,1.3221868044865914e-11
2025-09-10,296.37601666667956
2025-09-11,1.439737218333903e-11
2025-09-12,8.94040397270146e-12
2025-09-13,1.2181144981582293e-11
2025-09-14,3.555000000012658
2025-09-15,1.1717666666799342
2025-09-16,13.092750000016517
2025-09-17,1.5231260697134985e-11
2025-09-18,1.6760370868951213e-11
2025-09-19,1.0206058220774139e-11
2025-09-20,105.87879722867586
2025-09-21,8.445000000013117
2025-09-22,2.5517365997984598e-11
2025-09-23,7.458333333347667
2025-09-24,1.954147954563723e-11
2025-09-25,31.886366666679965
2025-09-26,1.3054488046115864e-11
2025-09-27,124.55680706601024
2025-09-28,5.868333333347144
2025-09-29,338.61962031334303
2025-09-30,53.665803405568184
2025-10-01,1.5440093648066977e-11
2025-10-02,1.3657519559728826e-11
