日期,紧急购电量/kWh
2025-08-02,1.0245138071240945e-11
2025-08-03,150.1923767333448
2025-08-04,32.47614026668055
2025-08-05,1.3665513165506127e-11
2025-08-06,2.2375434838295405e-11
2025-08-07,11.354189333349375
2025-08-08,1.1326495297225847e-11
2025-08-09,7.605471807892172e-12
2025-08-10,1.6203927089009085e-11
2025-08-11,108.33172913334917
2025-08-12,41.70589466668412
2025-08-13,60.83953893334759
2025-08-14,36.869573066678356
2025-08-15,8.477663016037695e-12
2025-08-16,8.176570531759353e-12
2025-08-17,20.481066666675908
2025-08-18,188.18657160001624
2025-08-19,157.96005580002083
2025-08-20,3269.7204602973407
2025-08-21,4.3646800000131805
2025-08-22,69.30194993333897
2025-08-23,7.569944671104167e-12
2025-08-24,1.50659484887683e-11
2025-08-25,72.54016402201498
2025-08-26,5.700793466681459
2025-08-27,14.042593333345526
2025-08-28,97.82678200935062
2025-08-29,1.2425838136209677e-11
2025-08-30,1.2950529537647526e-11
2025-08-31,50.216587266680015
2025-09-01,1.2327916465437738e-11
2025-09-02,6.050271394997253e-12
2025-09-03,7.750244890303293e-12
2025-09-04,7.819522807039903e-12
2025-09-05,1.3216094885137863e-11
2025-09-06,1.7692514120426495e-11
2025-09-07,6.1904092962805635e-12
2025-09-08,1416.5060840166873
2025-09-09,8.077094548752939e-12
2025-09-10,296.3760166666784
2025-09-11,9.983125437429408e-12
2025-09-12,1.1540990385583427e-11
2025-09-13,1.0476064460362977e-11
2025-09-14,1.5621282045685803e-11
2025-09-15,1.1717666666865871
2025-09-16,8.238266666681813
2025-09-17,310.3276012033482
2025-09-18,21.105021571344533
2025-09-19,1.488453804654455e-11
2025-09-20,147.7159111913477
2025-09-21,1.6368240096653608e-11
2025-09-22,14.993896333352094
2025-09-23,164.29688793068348
2025-09-24,1.4648282586904315e-11
2025-09-25,15.371666666682291
2025-09-26,1.1971132418686636e-11
2025-09-27,312.7223076086794
2025-09-28,139.08145846868385
2025-09-29,138.28542697668215
2025-09-30,45.306143600010095
2025-10-01,1.468958288342037e-11
2025-10-02,1.1449952097564164e-11
2025-10-03,9.958256441677804e-12
2025-10-04,1.1627324103535841e-11
2025-10-05,1.2298606577587634e-11
2025-10-06,1.0180745135812685e-11
2025-10-07,10.792334606675556
2025-10-08,1.570707452991371e-11
2025-10-09,1.562339146943259e-11
2025-10-10,1.233768642805444e-11
2025-10-11,1.152872242116132e-11
2025-10-12,20.929933333351684
2025-10-13,1.6289192217300297e-11
2025-10-14,738.2905868666857
2025-10-15,555.2446814433554
2025-10-16,1220.1088128166812
2025-10-17,93.28974164201078
2025-10-18,26.972389504014416
2025-10-19,1054.0980633213487
2025-10-20,825.7468541680166
2025-10-21,64.3027446180255
2025-10-22,376.60749237668324
2025-10-23,1.3848533431115584e-11
2025-10-24,215.22069980467847
2025-10-25,28.521866536010805
2025-10-26,1.738165167353145e-11
2025-10-27,343.1414142686853
2025-10-28,206.8529570960227
2025-10-29,2437.9209619286853
2025-10-30,3.334630466684466
2025-10-31,1.4988565943951926e-11
2025-11-01,1.4630074929300463e-11
2025-11-02,172.89182886267926
2025-11-03,2.4995117087200924e-11
2025-11-04,104.06201799534762
2025-11-05,3.227683333357556
2025-11-06,1348.3602427780165
2025-11-07,1.1310563596822476e-11
2025-11-08,1.5633716543561604e-11
2025-11-09,639.1727778200211
2025-11-10,757.0714495473497
2025-11-11,2.0516666666840075
2025-11-12,11.773333333348436
2025-11-13,78.72519486668774
2025-11-14,1.9253931782259315e-11
2025-11-15,1.5971315120104888
2025-11-16,1.7538637209213448e-11
2025-11-17,1.163691365491104e-11
2025-11-18,134.58907667734968
2025-11-19,369.2124965513474
2025-11-20,2.1574741992935742e-11
2025-11-21,63.855051465343344
2025-11-22,1.283373407545696e-11
2025-11-23,1.7731038859380988e-11
2025-11-24,141.02352728868397
2025-11-25,2.0316692772581746e-11
2025-11-26,734.2129700240182
2025-11-27,2.4152568833812893e-11
2025-11-28,47.111924466681316
2025-11-29,1130.5927210940172
2025-11-30,6.062833333350406
2025-12-01,4617.748626711351
2025-12-02,7016.319354991349
2025-12-03,3471.541823560684
2025-12-04,4954.505844286015
2025-12-05,5480.739959464012
2025-12-06,594.3366690440175
2025-12-07,4719.256727896678
2025-12-08,6265.360276340682
2025-12-09,594.0609054380168
2025-12-10,2.0057289162878078e-11
2025-12-11,1.5061285552064874e-11
2025-12-12,614.9914355000216
2025-12-13,729.8647431366853
2025-12-14,2.053091030518317e-11
2025-12-15,1.7951154451800733e-11
2025-12-16,1.8617551944544175e-11
2025-12-17,1.8757884134856795e-11
2025-12-18,98.46261053001439
2025-12-19,2.4261218034560272e-11
2025-12-20,1.5931256314161146e-11
2025-12-21,14.299216666684377
2025-12-22,93.78830315001866
2025-12-23,1.7663870366391166e-11
2025-12-24,59.41625666668571
2025-12-25,1.3121132800214659
2025-12-26,2.0903279107642447e-11
2025-12-27,2.3347990207867042e-11
2025-12-28,29.679616666688336
2025-12-29,1.9443724408318985e-11
2025-12-30,98.96787066668954
2025-12-31,380.94390566668613
